question,gemma3_answer
उताऱ्यात उल्लेख केल्याप्रमाणे खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वांत कमी लोकांना रोजगार प्रदान करते?,3
"उताऱ्यातनुसार, खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वात जास्त लोकांना रोजगार प्रदान करते?",1
"उताऱ्यानुसार, फ्यूजनमुळे तारे काय करण्यास सक्षम होतात?",3
एक उपयोगी फ्यूजन अणुभट्ट्या खालीलपैकी काय निर्माण करेल?,4
पाण्याची रासायनिक रचना काय आहे?,4
"जेव्हा पाण्याचे स्वरूप बदलते, तेव्हा काय कायम राहते?",1
"उताऱ्यानुसार, काही कायदे लागू करण्याचा प्रयत्न करताना तेरा राज्यांना पुढीलपैकी कोणती समस्या नव्हती?",1
"उताऱ्यातील संदर्भानुसार, कोणते विधान क्रांतिकारी युद्धादरम्यान केंद्र सरकारच्या अवस्थेचे अचूकपणे वर्णन करते?",4
स्वातंत्र्याच्या जाहीरनाम्याच्या मागे असलेले शब्द कसे लिहिले आहेत?,3
सिंगापूर खालीलपैकी कशासाठी प्रसिद्ध आहे?,1
वांडा मिस जोआकिम काय आहे?,2
"उताऱ्यातील माहितीनुसार, गिझा पिरॅमिड्सच्या कोणत्या गुणवत्तेवर न्यू किंगडम इजिप्शियन लोकांना आश्चर्य वाटण्याची शक्यता नव्हती?",1
शाकाहारी प्राणी पावसासाठी कोठे प्रवास करू लागतात?,3
"उताऱ्यानुसार, शाकाहारी प्राणी एप्रिलच्या आसपास कोणत्या भागातून निघून जातात?",2
ऑपरेशन सेलियन अंतर्गत कोणत्या देशावर आक्रमण करण्यात आले?,2
जर्मनीने ब्रिटनवरील हल्ल्याला काय नाव दिले?,2
इटलीच्या आफ्रिकन देशांना ताब्यात घेण्याच्या योजनेतील कोणती बाब आवश्यक नाही?,1
"दिलेल्या उताऱ्यानुसार, इटलीचा युद्धामागील मुख्य हेतू काय होता?",1
घुसखोरांशी कोणी मैत्रीचे संबंध स्थापित केले?,2
ऑपरेशन ड्रॅगनमध्ये मित्र कोण होते?,1
कोणत्या तंत्रज्ञानाच्या विकासामुळे पाणबुड्यांना पाण्याखाली प्रवास करण्यास मदत झाली?,4
पहिल्या वापराच्या वेळी पाणबुडींची रेंज कशाच्या बाबतीत मर्यादित होती?,3
"उताऱ्यानुसार, कराराचे उल्लंघन कोणी केले? ",4
खालीलपैकी कोणती कृती लाल आर्मीने केली नाही?,3
इटलीच्या दहाव्या लष्करातील मुख्य अभियंताचे काय झाले?,3
इटालो बाल्बो कुठे मारला गेला?,4
"उताऱ्यानुसार, खालीलपैकी कोणते तंत्र तिबेटी ध्यानाचा एक महत्त्वाचा भाग आहे?",3
"दिलेल्या उताऱ्यानुसार, तिबेटी ध्यानाच्या “केंद्रात” चक्रे कशी सक्रिय होतात?",2
कार्यक्रमात दुसरे भक्ती गीत कोणी गायले?,4
"दिलेल्या उताऱ्यानुसार, अन्नाचा भोग चढवताना कोणी भक्ती गाणे गायले?",1
संध्याकाळचे शेवटून-दुसरे सादरीकरण कशाचे होते?,2
अलेस्सांद्रो सफिनाचे राष्ट्रीयत्व कोणते?,4
"उताऱ्यातील माहितीच्या आधारे, खालीलपैकी कोणते विधान सत्य नाही?",1
"उताऱ्यानुसार, उष्णतेच्या असहाय्य पातळीबाबत कोणी माहिती दिली?",2
त्सुनामीच्या क्रियाकलापामुळे वीज पुरवठा कुठे खंडित होतो?,1
"उताऱ्यानुसार, वीज खंडित झाल्यामुळे टोंगावर कसा परिणाम झाला?",4
जॉनी रीडची ड्रायव्हिंग स्पीड पाहण्यासाठी पोलिसांना त्यांच्या रडार गन्सचा वापर कधी करता आला?,1
"उताऱ्यानुसार, न्यूझीलंडच्या पोलिसांना जॉनी रीडचा वेग पाहणे का कठीण होते?",1
बुट्टेमध्ये भूकंपाचे केंद्रस्थान कुठे होते?,2
अबू घरैब येथे दंगली दरम्यान काय घडले?,4
इराकी तुरुंगाची कुप्रसिद्धी का झाली? ,4
मौईच्या वॉर मेमोरियलमध्ये कोणत्या प्रकारचा कार्यक्रम झाला?,3
कार्यक्रम रद्द झाल्याबद्दल शेवटी कोणी स्पष्टीकरण दिले?,2
बिश्केकमधील अनेक रहिवाशांना लूटीसाठी कोण जबाबदार आहे असे वाटले?,3
लुटीसाठी दक्षिणेतील आंदोलकांना कुणी जबाबदार ठरवले?,1
रिंग अनुभवाने विक्री कधी वाढली?,1
जेमी सिमिनोफने रिंग सुरू करण्याचा निर्णय कधी घेतला?,1
इंद्रधनुष्य वाचन चा प्रत्येक भाग मुलांसाठी कशाची शिफारस करतो?,4
रीडिंग रेनबोचा मालिकेचा शेवट कशामुळे झाला असावा?,1
अधिकाऱ्यांनी झाडाबद्दल खालीलपैकी कोणता युक्तिवाद आम्सटरडॅम आणि संग्रहालयाबाबत केला नाही?,2
"आरएसपीसीएच्या मुख्य निरीक्षकाच्या मते, खालीलपैकी कोणासाठी तपासण्या मानक असाव्यात?",4
"उताऱ्यानुसार, ऑस्ट्रेलियन कत्तलखान्यातील कामगारांना प्राणी कल्याणाचे महत्त्व पटवून देण्यास कोणती गोष्ट मदत करू शकते?",1
"दिलेल्या उताऱ्यानुसार, अटक केलेल्या व्यक्तीचा व्यवसाय काय होता?",1
"उताऱ्यानुसार, अजून एकाला अटक केल्याची बातमी पसरत असताना किती पीडितांवर अंत्यसंस्कार केले जात होते?",2
निदर्शनांच्या पार्श्वभूमीवर कोणत्या देशाने त्याच्याद्वारे आधीच स्वाक्षरी केलेल्या एसीटीए कराराला मंजुरी द्यायचे टाळले?,2
"उताऱ्यानुसार, खालीलपैकी कोणत्या देशांनी एसीटीएमध्ये सामील होण्याची प्रक्रिया पुढे ढकलण्याचा निर्णय घेतला?",4
आयपॅडच्या अतिउष्णतेच्या घटनांमुळे किती लोक जखमी झाले आहेत?,1
"ओव्हरहिटिंग घटना खूप सिरीयस नव्हत्या, असे कोण म्हणाले?",4
स्टीव्ह जॉब्स त्यांच्या भाषणात ऍप्पल काय रिइंव्हेंट करणार असल्याचे म्हणाले?,2
स्टीव्ह जॉब्सच्या दोन तासांच्या भाषणाचा हेतू काय होता?,3
अर्जेंटाइन थिएटरमध्ये क्रिस्टीना फर्नांडिस डी किर्चनरने काय घोषित केले?,1
क्रिस्टीना फर्नांडिस डी किर्चनर यांनी अध्यक्षपदासाठीच्या उमेदवारीची इच्छा कुठे जाहीर केली?,3
एसीएमएने बिग ब्रदरबद्दल काय निरीक्षण नोंदवले?,1
एखादा मिडिया इंटरनेट सामग्री म्हणून ग्राह्य धरला जावा यासाठी त्या मिडीयाने कोणते मापदंड पूर्ण करावेत?,2
ऑस्ट्रेलियाच्या लिबरल पार्टीचा नेता कोण आहे?,1
ऑस्ट्रेलियामध्ये आधीपासूनच अणुऊर्जा उद्योग उपलब्ध नसण्याचे कारण काय?,4
कोणत्या स्कीअरने मार्गदर्शकाच्या मदतीने स्पर्धा केली?,3
सुपर-जी मध्ये महिलांच्या श्रेणीत दहाव्या स्थानावर कोणता देश होता?,2
"दिलेल्या उताऱ्यानुसार, ब्लेकबद्दल कोणते विधान योग्य नाही?",2
"उताऱ्यानुसार, खालीलपैकी काय ब्लेकसोबत घडले नाही?",3
संयुक्त राष्ट्रसंघांचा वैश्विक तापमानवाढ निधी कशासाठी वापरला जाणार नाही?,2
"उताऱ्यानुसार, संयुक्त राष्ट्रे काय वाचवण्याची आशा बाळगतात?",3
"अल्बर्ट मुचांगा यांनी ज्यावर अद्याप एकमत होणे आवश्यक आहे, अशा खालीलपैकी कोणत्या गोष्टीचा उल्लेख केला नाही ?",1
"उताऱ्यानुसार, जुलैमध्ये व्यापार का सुरू होऊ शकतो?",2
"दिलेल्या उताऱ्यानुसार, द अटलांटा जर्नल-कॉंस्टीट्यूशनने शिक्षण अधिकाऱ्यावर कशाचे आरोप केले आहेत?",3
"उताऱ्यात दिलेल्या माहितीच्या आधारे, द अटलांटा जर्नल-कॉंस्टीट्यूशनच्या अहवालात काय नमूद करण्यात आले नव्हते?",3
"उताऱ्यानुसार, बॉम्बस्फोटानंतर कोणती माहिती कळते?",4
2017 मध्ये मँचेस्टर सिटीत सामील झाल्यापासून जेसस किती सामने खेळला आहे?,4
कोणत्या क्लबमध्ये सहभागी होण्यासाठी जेससला £27 दशलक्ष मिळाले?,2
वसतिगृहातील पाहुण्यांबद्दल कोणते विधान खरे नाही?,4
"उताऱ्यानुसार, खालीलपैकी कोणते विधान खरे आहे?",3
"उताऱ्याच्या आधारे, टक्कर झाल्याबद्दलची कोणती माहिती अनिश्चित नाही?",1
"उताऱ्यानुसार, टक्करबाबत अद्याप काय निश्चित करणे आवश्यक आहे?",4
"उताऱ्यानुसार, एकेकाळी बॅटनचे सर्वात श्रीमंत अमेरिकन्सच्या यादीत कोणते स्थान होते?",3
बॅटनने खालीलपैकी कोणाला देणगी दिली?,2
राज्यपाल अर्नोल्ड श्वार्झनेकर यांनी विधेयकाच्या कोणत्या भागावर स्वाक्षरी केली नाही?,3
"उताऱ्यानुसार, ज्या गोष्टी बोलल्या जात होत्या, त्या कोण चुकवल्या?",3
"उताऱ्यानुसार, सुनावणीच्या वेळी मिलरच्या अनुभवाबाबत खालीलपैकी काय खरे आहे?",2
स्वच्छ हवा कायदा’मध्ये सुधारणा करावी असे कोणी सुचवले?,3
स्वच्छ हवा कायदा’ हा निवडणूक पूर्वीचा दिखावा म्हणून वापरला जात असल्याची टीका कोणी केली?,1
मांजरीच्या लघवीमध्ये सायन्युरिक ऍसिड आणि मेलामाइन यांची एकत्रित अभिक्रिया झाल्यावर काय तयार होते?,3
संशोधकांनी इन्फ्रारेड स्पेक्ट्रोस्कोपी काय बघण्यासाठी वापरली?,2
"""लुनाला """"क्वीन ऑफ एक्स्ट्रीम"""" असे कोणी संबोधले?""",4
"""लुनाला """"विचित्र"""" कोणी म्हटले?""",2
अपघातात सहभागी असलेल्या चालकासोबत काय झाले नाही?,1
रग्बी सामन्यादरम्यान दक्षिण आफ्रिकेच्या संघाने दर्शवलेल्या त्यांच्या खेळाच्या कामगिरीबाबत काय दिसून आले नाही?,3
"उताऱ्यानुसार, दक्षिण आफ्रिकेचा खेळ कधी सुधारायला लागला?",4
"उताऱ्यानुसार, खालीलपैकी कोणते विधान चीनच्या अर्थव्यवस्थेला अचूकपणे दर्शवत नाही?",4
"उताऱ्यानुसार, चीनचा जीडीपी अमेरिकेपेक्षा जास्त होऊ शकतो?",2
हू यांनी विकसनशील देशांना काय करायचे सुचवले?,4
हू यांनी कशाचा उल्लेख केला नाही?,3
खालीलपैकी कोणासाठी वीरमन परिस्थिती चांगली नसल्याचे म्हणाला?,2
खटल्याच्या कारणामुळे हुनेच्या जागी कॅबिनेट पद कोण स्वीकारेल?,1
खटल्याच्या पार्श्वभूमीवर वाणिज्य मंत्री पद कोण स्वीकारेल?,1
कॅमिली सेंट-सेन्सच्या ऑपेरादरम्यान कलाकार प्रेक्षकांना काय करण्यास प्रोत्साहित करतात?,1
ऑपेराच्या वेळी प्रामुख्याने कोण गांजाचा धूर करतात?,1
"""लिओनोव्हने केलेल्या """"स्पेसवॉक""""चे दुसरे नाव काय आहे?""",3
लिओनोव्हने कोणत्या अभियानात सोव्हिएतचे नेतृत्व केले?,2
अपघातात कोण जखमी झाला?,4
अपघातात सापडलेल्या लोकांचे काय झाले?,2
प्रकल्पावर काम करणाऱ्या शास्त्रज्ञांना खालीलपैकी कोणत्या गोष्टीद्वारे निर्मित प्रभावाचे निरीक्षण करण्याची आशा होती?,2
शास्त्रज्ञ खालीलपैकी कशाच्या पदार्थाचे निरीक्षण करत होते?,4
"उताऱ्यानुसार, पुराणमतवाद्यांनी कशावर टीका केली नाही?",2
कॅट्रीना चक्रीवादळाच्या मदतकार्यासाठीच्या पुनर्बांधणी करारांवर कोण टीका करत आहे?,1
"उताऱ्यानुसार, स्टारडस्ट अंतराळयानाचे लाईट्स सर्वप्रथम कुठे दिसतील?",2
"उताऱ्यानुसार, अंतराळयान खालीलपैकी कशाचा विक्रम प्रस्थापित करेल?",3
डॉ. मलार बालासुब्रमण्यम यांचा सरोजा बालासुब्रमण्यम यांच्याशी काय संबंध होता?,2
सारा बालसुब्रमण्यन यांचा मृतदेह कुठे सापडला?,3
eBayने काय विकत घेतले?,3
अधिग्रहण करून eBay काय साध्य करू इच्छित आहे?,2
"दिलेय उताऱ्यानुसार, लढाईनंतर बाहेर बसलेल्या सहवासीयांसोबत कोण संवाद साधत नाही?",1
खालीलपैकी कशामुळे कैद्यांनी अखेरीस दंगलीतून माघार घेतली?,2
अयातुल्ला अली खामेनी यांच्यामते इराण देशाने स्वत:ला कशापासून मुक्त करायला हवे?,4
"उताऱ्यानुसार, इराणच्या अर्थव्यवस्थेवर निर्बंधाचा परिणाम कोणी मान्य केला?",1
पुढीलपैकी कोणता फ्रान्सच्या मतदान प्रक्रियेचा भाग नाही?,4
मतदार त्यांनी निवडलेला उमेदवार कोठे सूचित करतात?,2
अॅलनने मुसाशीचा आठ वर्षांचा शोध कशामुळे सुरू केला?,4
"उताऱ्यानुसार, अॅलनने त्याचे बरेच पैसे कशावर खर्च केले?",2
"दिलेल्या उताऱ्यानुसार, खालीलपैकी कशामुळे झाडांमध्ये आणि आसपासच्या परिसरात घातक परिस्थिती निर्माण झाली?",1
फॅक्टरीमधील घटनेनंतर स्थानिकांना खालीलपैकी कोणती सुरक्षा टिप्सची शिफारस केली जात नाही?,3
"डॉक्टर मोलच्या मते, XDR-TBबाबत कोणती बाब सर्वाधिक काळजी करण्यासारखी आहे?",4
नवीन व्हेरीयंटमुळे प्रभावित झालेल्या रुग्णांपैकी किती आरोग्य सेवा कामगार असल्याची पुष्टी केली गेली?,2
नेक्स्टजेन सिस्टम कोणत्या प्रकारचे तंत्रज्ञान वापरते?,1
नेक्स्टजेन थेट एअर ट्रॅफिक नियामकांना कशी मदत करते?,2
"उताऱ्यानुसार, इतिहासकारांनी एफबीआयवर कशावर लक्ष केंद्रित करण्यासाठी टीका केली नाही?",3
अश्लीलताविरोधी अभियान एफबीआयला काय करण्यास भाग पाडतो?,4
JAS 39C ग्रिपेन कोसळल्यानंतर बचावात्मक कार्य करत असताना अग्निशमन वाहनाचे काय झाले? ,2
JAS 39C ग्रिपेनच्या अपघातानंतर विमानतळ कुणासाठी बंद करण्यात आले?,1
इराणी क्रांतीच्या वेळी ब्रझेझिन्स्कीने कोणाला मार्गदर्शन केले?,3
1977 पर्यंत राष्ट्रीय सुरक्षा सल्लागार कोण होता?,2
खालीलपैकी कोणता पर्याय बॉबेकच्या पार्टीझन बेलग्रेडसोबतच्या कारकिर्दीला योग्यरित्या दर्शवत नाही?,1
बॉबेकच्या पार्टीझन बेलग्रेडसोबतच्या वाटचालीबद्दल कोणते विधान खरे आहे?,1
"उताऱ्यानुसार, कोणते वैशिष्ट्य हेस्परोनीकसला वेलोसिराप्टरपासून वेगळे ठरवते?",2
हेस्परोनीकसचा अर्थ या प्रजातीच्या कोणत्या भौतिक वैशिष्ट्यावरून काढला जातो?,1
गोळीबाराबाबत खालीलपैकी कोणते विधान खरे आहे?,4
गोळीबार ज्या प्रसंगी झाला त्याबाबत कोणते विधान बरोबर आहे?,2
"उताऱ्यानुसार, लूनोबाबत अधिका-यांमध्ये सुरुवातीला कोणती चिंता होती?",3
"उताऱ्यानुसार, लुनोच्या ब्रेकडाउनबद्दल खालीलपैकी कोणते विधान सत्य नाही?",2
अल्जेरिया कोणत्या दशकात स्वातंत्र्य पाप्र्त होते?,3
अंत्यसंस्कारासाठी टेलिव्हिजन स्क्रीन्स कोठे सेट केल्या गेल्या नाही?,4
अंत्यसंस्कार विधी कोठे पार पडला?,3
स्फोटानंतर कोणाच्या गंभीर जखमांवर उपचार केले गेले?,1
गॅस गळतीची तक्रार कोणी केली?,1
"उताऱ्यातील माहितीनुसार, हल्ल्यात किती लोकांचा मृत्यू झाला?",2
हल्ल्याच्या एका टप्प्यावर कोणाचे शस्त्र शूट करण्यात अयशस्वी झाले?,2
खालीलपैकी कोणत्या खेळाला ऑलिंपिकमधून वगळण्यात आले?,3
आंतरराष्ट्रीय ऑलिंपिक समितीने खालीलपैकी कोणत्या खेळाचा ऑलिंपिक खेळांमध्ये समावेश करण्यासाठी मतदान केले?,3
आर्थर गिनीजने सेंट जेम्स गेट ब्रेव्हरी किती वर्षे भाड्याने दिली?,4
गिनीज दरवर्षी सुमारे किती अब्ज डॉलर्स कमावते?,3
युरोपीय संघातील किती देशांमध्ये H5N1 विषाणू आढळला आहे?,3
H5N1 विषाणूचे नवीनतम प्रकरण कोठे आढळले?,1
शांतीरक्षकांद्वारे आजाराचा प्रसार होण्यापूर्वी हैतीमध्ये हा आजार शेवटी कधी आढळला होता?,1
कोणत्या ठिकाणच्या कचऱ्यापासून हा रोग पसरण्यास मदत झाली?,2
आयरिश सरकार काय करण्याच्या विचारात आहे?,1
आयर्लंडमध्ये काय तात्पुरते कायदेशीर आहे?,4
संशयित गुन्हेगाराची चौकशी कशासाठी केली जात आहे?,1
खूण बदलताना संशयिताने काय केले नाही?,3
"उताऱ्यानुसार, इंग्रज शिक्षिका कर्नोवर खालीलपैकी कोणता आरोप नव्हता?",2
"उताऱ्यानुसार, रोलँडो मेंडोझा यांनी कोणाला ओलिस ठेवले नाही?",2
"उताऱ्यात दिल्याप्रमाणे, ओलीस ठेवलेल्यांपैकी कुणाची लवकर सुटका झाल्याची खात्री केली गेली नाही?",1
