question,gemma3_answer
"Go ya ka serapa, ke eng se o ka reng ga se kakantsho e ntle ka go tshameka korosetina?",2
"Fa o tshameka korosetina, ke eng mo go tse di latelang, e e tla thusang go oketsa modumo?",1
Ke ka ntlha ya eng ditshwantsho tse di mo thelebisheneng di segilwe melelwane?,2
"Go ya ka serapa, ke mathata afe a a latelang, a motho a ka kopanang le one fa a fetolela filimi kwa sebopegong sa DVD?",1
Masole a Borithane a ne a le mo lefelong lefe?,1
Ke mosaeno wa ga mang o o tlhagelelang mo tlhomong ya mokwalo?,1
"Mo mafelong a a latelang, matlhakore a mabedi a Dunlap a gorogile kwa kae la bofelo?",3
Masole a ga Colonel Stark a ne a le kwa kae?,1
"Go ya ka serapa, banna ba ga Stark ba ne ba oketsa lorako leng?",2
"Go ya ka serapa, ke efe ya dilo tse di latelang, e e neng e le ka nako ya fa China e ne e tletse tshololo ya madi?",4
"Go ya ka serapa, ke eng se e leng boammaruri ka setlhopa sa masole a ditshoswane a neng a aga manno a nakwana, a a agiwang sesha letsatsi le letsatsi?",3
"Go ya ka serapa, ke mafoko a fe a a bontshang sentle gore setlhopa sa masole a ditshoswane se aga manno  a nakwana, a a agiwang sesha tsatsi  le letsatsi?",3
Ke eng mo go tse di latelang di tlile go tswelela le fa go na le dilo tse dingwe tse di diregang ko ntle?,1
Ke lefoko lefe le le tlhalosang mongwe le mongwe yo o bontshang ditshwano tsa mokgwa tse di farologaneng?,3
Ke mafoko afe a a tshwanang a detshedi tse di dulang mo lefelong le le rileng?,3
Ke efe ya dilo tse di latelang o kare ga e se sekai sa tiro ya tlhago ya bojanala?,1
"Go ya ka serapa, ke efe ya dilo tse di latelang e leng motheo wa tsamaiso ya dipalangwa?",2
Dilwana tse di dikologileng nutlease di na le mofuta ofe wa maatla?,1
Nutlease e nale dilwana dife?,1
"Go ya ka serapa, ke efe ya tse di latelang e e leng sekai sa nomore e e nang le dinomore tse pedi tse tlhano?",1
Dinomore tse di nang le dinomore tse pedi di bidiwa eng?,1
Ke efe ya dilo tse di latelang tse go sa buiwang ka tsone mo serapeng jaaka e le tse di solegelang molemo moithuti yo o nang le taeari ya inthanete?,2
Ke efe ya dilo tse di latelang tsa dikarolo tsa go dira taeari mo ithaneteng e e bontshiwang e tlhotlheletsa moithuti go tokafatsa bokgoni jwa bone jwa go kwala?,1
Ke efe ya dilo tse di latelang tse di sa tsweleng mosola tsa puisano e e sa diregeng ka nako e e tshwanang ya baithuti? ,2
"Go ya ka temana e, ke efe ya dilo tse di latelang tsa puisano e e sa diregeng ka nako e e tshwanang, e e sa fetogeng go rekegela baithuti?",1
"Ga go a umakiwa eng mo temaneng e, se motho a ka se golaganyang le dikago tsa bogologolo?",1
Ke efe ya dilo tse di latelang e e sa umakiwang mo serapeng jaaka monkgo kgotsa modumo o o kgonang go diriwa jaaka kgakgamatso mo matlotleng a dikago tsa bogologolo?,3
