question,gemma3_answer
"Ịsonye ka esi dee na mpaghara akwụkwọ a, kedụ ihe agaghị anabata ka okwu ọma kpọmkwem banyere ịgwu egwu akọdịọnụ?",2
"Ka iji akọdịọnụ egwu egwu, kedụ n’ihe ndị a ga-enye aka inwelite olu egwu?",4
Kedụ ihe kpatara eji egbupu akụkụ ihenlere dị n’igwe onyonyo egbupu?,2
"Ịsonye ka esi dee na mpaghara akwụkwọ a, olee mmekpahụ mmadụ nwere ike ihu n’ịtụgharị ihenlere n’ụdị DVD?",1
Olee ebe e nwere garịsọn Britain?,3
Onye ka egosri mbinyeaka ya n'ime dụraftụ ejiri aka dee?,4
"Na obodo ndị a, kedụ ebe Dunlapụ bịara ikpeazụ?",3
Kedụ ebe ndị agha Kọlọnelu Stark dị?,2
"Ịsonye ka esi dee na mpaghara akwụkwọ a, kedụ oge ụmụ nwoke Starkị jiri gbatịa fensi ha?",3
"Ịsonye ka esi dee na mpaghara akwụkwọ a, olee n’okwu ndị a bukarịrị oge ọchịchị mkpagbu nke China?",4
"Ịsonye ka esi dee na mpaghara akwụkwọ a, gịnị bụ eziokwu nke kọlọni antị ndị agha banyere ịbanye usoro nọmadiki?",3
"Ịsonye ka esi dee na mpaghara akwụkwọ a, kedụ ezigbo edemede na-egosipụta agwa ebe obibi ndị kọlọni antị ndị agha n’oge usoro nọmadiki?",3
Olee n'ime ihe ndị a ga-adịgịde n'agbanyeghị ọbịbịa nke ndị nhazi otu ọzọ?,3
Kedu okwu bụ nkọwa ndị mmadụ egosipụtara ọdịịche nke otu omume nzipụta?,4
Kedu n'ime ihe ndị a bụ okwu ziri ezi maka ihe ndị dị ndụ nọ n’otu mpaghara?,1
Kedu n'ime ihe ndị a abụghị ihe ọmụmatụ nke ọrụ njem nlegharị anya dabere?,1
"Ịsonye ka esi dee na mpaghara akwụkwọ a, kedu n'ime ihe ndị a bụ ihembido nke usoro ịga njem?",2
Ụmụ irighiri ihe ndị na-agba nukulus gburugburu kedu ụdị chaaji onwere?,3
Kedụ irighịrị ihe mebere nukulus?,1
"Ịsonye ka esi dee na mpaghara akwụkwọ a, olee n'ime edemede ndị a bụ ihe ọmụmatụ nke nọmba bayịnarị biti nke ise?",4
Kedụ ihe ọzọ ana-akpọ dịgịtị bayịnarị?,1
Kedu n'ime ndepụta ndị a ka ana-ekwughị n'akụkụ akwụkwọ a dị ka isi uru nke ịdere ụmụ akwụkwọ blọgụ?,2
Kedu n'ime ihe ndị a na-imeputa blọgụ ka akpọtụrụ ịji kpalite mmụọ ụmụ akwụkwọ iji kwalite nkà ide ihe ha?,3
Olee na ndeputa ndị a na-abụghị uru mkparịtauka anaghị abịa otu mgbe maka ụmụ akwụkwọ? ,2
"Ịsonye ka esi dee na mpaghara akwụkwọ a, olee na ndeputa anaghị abịa otu mgbe na adịghị ụmụ akwụkwọ mwegharị?",4
Kedu ihe ndị ana-emetụghị aka na mpaghara akwụkwọ a dịka ihe mmadụ ihe mmadụ nwere ike jikọta ya na kastụlụ midivalụ?,3
Kedu n'ime ihe ndị a na-emetụghị aka na mpaghara akwụkwọ dị ka ísì ma ọ bụ ụda nke nwere ike ịpụta n'agbata mkpoko kastụlụ?,2
Kedu n'ime ihe ndị a bụ nkọpụta ezie kpọmkwem nke Kastụlụ Kirby Muxloe?,4
