question,gemma3_answer
"Hi ku ya hi ndzimana, i yini lexi nga ta tekiwa ku nga ri xitsundzuxo lexi kongomeke leswaku u tlanga kositina hi ndlela leyi humelelaka?",4
"Loko u tlanga kositina, i yini eka leswi landzelaka leyi nga ta ku pfuna ku engetela mpfumawulo?",1
Ha yini swifaniso swa le thelevhixini swi tsemiwile ematlhelo hinkwawo?,2
"Hi ku ya hi ndzimana, i swiphiqo swihi eka leswi landzelaka leswi un’wana a nga langutanaka na swona loko a hundzula muvhi yi va fomati ya DVD?",1
A yi ri kwihi ndhawu leyi laha masocha ya le Britain a ma rindza kona?,3
A ku ri nsayino wa mani lowu a wu ri eka mpfampfarhuto lowu tsariweke hi voko?,4
"Eka tindhawu leti landzelaka, hi le kwihi laha Dunlap broadside yi nga fika ro hetelela?",3
Masocha ya Mukolonele Stark a ma ri kwihi?,1
"Hi ku ya hi ndzimana, a ku ri rini loko vavanuna va Stark va engetela fenisi ya vona?",3
"Hi ku ya hi ndzimana, i nkarhi wihi eka leyi landzelaka laha a ku ri nguva wa madzolonga ngopfu le Chayina?",4
"Hi ku ya hi ndzimana, i yini lexi nga ntiyiso hi kholoni ya vusokobyi loko byi nghena eka xiyenge xa nomadikhi?",3
"Hi ku ya hi ndzimana, i swiga swihi leswi hlamuselaka kahle mikhuva ya ku endla ndhawu yo tshama ya kholoni ya vusokobyi hi nkarhi wa xiyenge xa nomadikhi?",1
I yini eka leswi landzelaka leswi nga ta ya emahlweni hambi ku ri ni swivangelo swa ntumbuluko?,2
I rito rihi leri hlamuselaka vanhu lava kombisaka ku hambana ka xitekela xo karhi?,4
Eka leswi landzelaka i rihi rito leri faneleke ra swivumbiwa leswi tshamaka endhawini yo karhi?,1
I yini eka leswi landzelaka leyi nga riki xikombiso xa leswi nga endliwa tanihi vupfhumba lebyi seketeriweke eka ntumbuluko?,1
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leyi nga xisekelo xa fambiselo ra swilo leswi fambisaka vanhu?",2
Swilo leswi rhendzeleke nyutliliya ti ni muxaka wihi wa chaji?,1
Nyutliliya yi endliwe hi swilo swihi?,1
"Hi ku ya hi ndzimana, eka leswi landzelaka i yini xikombiso xa tinomboro leti tirhisiwaka?",1
Tinomboro leti tirhisiwaka nakambe ti vitaniwa yini?,1
I yini eka leswi landzelaka leswi nga vuriwangiki eka ndzimana tanihi ku vuyeriwa ka ku tsala tibulogo ta machudeni?,1
I yini eka swiyenge leswi landzelaka swa ku tsala tibulogo leswi nga tekiwa tanihi ku khuthaza machudeni ku antswisa vuswikoti byo tsala?,4
I yini eka leswi landzelaka leyi nga riki vuyelo bya ku vulavurisana loku nga humeleriki hi nkarhi wun’we eka machudeni? ,2
"Hi ku ya hi ndzimana, i yini eka swiyenge leswi landzelaka swa ku vulavurisana loku nga humeleriki hi nkarhi un’we leyi nga riki yo olova eka machudeni?",3
I yini leswi nga vuriwangiki eka ndzimana tanihi leswi munhu a nga swi katsakanya ni xigodlo xa ndhavuko xa le ka malembexikarhi?,1
I yini eka leswi landzelaka leyi nga si vuriwa eka ndzimana tanihi minun’hwelo kumbe mimpfumawulo leyi twiwaka emarhumbini ya xigodlo?,2
I yihi eka leti landzelaka leyi nga nhlamuselo ya kahle ya Kirby Muxloe Castle?,4
I swiphemu swihi swa ku akiwa eka leswi landzelaka leswi nga ta tekiwa swi nga faneleki Kirby Muxloe Castle enkarhini lowu nga hlamuseriwa eka ndzimana?,2
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leswi nga ta va vuyelo lebyikulu eka munhu wa ku tsutsuma loyi a nga lunghiselela nkarhi lowu taka wa ku tsutsuma?",2
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka swa nkoka ngopfu eka munhu loyi a tsutsuma hafu ya mayile ya xiyimo lexi tlakukeke?",2
"Eka munhu wa ku tsutsuma, i yini eka leswi landzelaka leyi nga ta fikeleriwa ntsena hi ku dya kahle?",1
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leswi ku nga riki ndlela leyi nga ringanyetiwa ya vatsutsumi lavantshwa leswaku va tsakela ntlango wa vona hi laha ku engetelekeke?",2
"Hi ku ya hi ndzimana, ha yini mutsutsumi wa ndhawu leyi nga lehanga naswona yi nga komanga a nga xavaka xitirhisiwa lexi durhaka ngopfu?",2
"Hi ku ya hi ndzimana, ku laveka yini leswaku u tsutsuma eka ndhawu leyi nga lehanga naswona yi nga komanga?",1
I mani loyi a nga kuma nuclear magnetic resonance? ,3
Hi lembe rihi laha ku nyikeriweke patente ya ku sungula medical imaging resonance? ,1
"Hi ku ya hi ndzimana, i yini leswi vanhu va faneleke va swi twisisa ngopfu leswaku va kota ku twisisa swiendlo swa vanhu van’wana?",2
"Hi ku ya hi ndzimana, ku twisisa leswi va swi lavaka ku pfuna vanhu leswaku va endla yini?",1
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leswi nga nkatsakanyo lowu kongomeke hi xikongomelo-nkulu xa AI?",3
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leswi ko tala swi fambisiwaka ni AI?",1
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leswi nga vuswikoti bya munhu loyi a nga ni miehleketo yo lulamisa swiphiqo leyi hlanganisaka mavonelo yo hambana kumbe swiyenge swo karhi ku kuma xitshunxo?",4
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leyi nga tekiwiki tanihi ku dzika ka miehleketo ya ku lulamisa swiphiqo leyi hlanganisaka mavonelo yo hambana kumbe swiyenge swo karhi ku kuma xitshunxo?",3
"Hi ku ya hi ndzimana, i yini eka leswi landzelaka leyi nga ta tekiwa yi ri ku fambisiwa ka xikandza loku tekaka timilisekoni to hlayanyana?",1
