question,gpt_reply
"Dumasar kana bagéan tina karangan anu disayogikeun, piwuruk mana anu teu luyu patali cara anu bener maénkeun akordion?","A: Ngarah nambah tarik sorana, mencet konci anu diteken leuwih teuas"
"Nalika maénkeun akordion, hal mana anu baris nambahan volume akordion?",A: Nambahan laju
Naha wates gambar dina tipi sok dipotong?,B: Ngarah gambar tiasa nutupan sakabéh layar
"Dumasar kana bagéan tina karangan anu disayogikeun, masalah mana anu bakal dialaman nalika ngarubah format pilem kana format DVD?",B: Tarjamahannana kapotong sabagéan
Di mana harita tempatna garnisun Inggris?,B: Trenton
Tanda tangan saha anu aya dina draf tulisan leungeun kasebat?,D: Charles Thomson
"Ti sababaraha tempat di handap ieu, di mana selebaran Dunlap datang pangtungtungna?",C: London
Di mana wadyabala balad Kolonel Stark ditempatkeun?,"A: Di tungtung kalér, sapanjang barikade"
"Dumasar kana bagéan tina karangan anu disayogikeun, iraha wadya baladna Kolonel Stark manjangkeun barikadena?",C: Waktos laut nuju surut
"Dumasar kana bagéan tina karangan anu disayogikeun, nuju jaman Cina mana anu kasohor pangtelengesna?",D: Jaman Tilu Karajaan
"Dumasar kana bagéan tina karangan anu disayogikeun, parnyataan mana anu leres nunjukkeun koloni tentara sireum anu asup kana tahap kahirupan nomaden?",B: Persediaan dahareunnana geus tinggal saeutik
"Dumasar kana bagéan tina karangan anu disayogikeun, parnyataan mana anu leres nunjukkeun kabiasaan nyieun sarang koloni tentara sireum dina waktos tahap hirup nomaden?",C: Maranéhna ngaganti sarang unggal poé
Mana di handap ieu anu baris diteraskeun sanajan aya tanda-tanda éksternal?,C: Jam biologis
Istilah mana anu ngagambarkeun jalmi-jalmi anu ngabogaan variasi ciri-ciri fenotipe anu tangtu?,D: Polimorfik
Istilah mana anu dipaké pikeun nunjuk kana organisme nu nyicingan hiji daérah anu tangtu?,B: Populasi
"Di handap ieu, mana anu teu kaasup kana kagiatan pariwisata berbasis alam?",C: Nganjang ka musium élmu pangaweruh
"Dumasar kana bagéan tina karangan anu disayogikeun, dumasar kana naon sistem transportasi téh?",B: Mobil pribadi
Partikel anu ngorbit ka nukleus ngabogaan aliran listrik anu kumaha?,C: Aliran listrik négatip
Nukleus téh diwangun ku partikel naon waé?,A: Proton jeung neutron
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu kaasup kana angka binér lima bit?","C: 10010

Angka binér lima bit hartosna éta ngagaduhan lima digit anu masing-masing tiasa janten 0 atanapi 1. Pilihan C, ""10010"", ngandung lima digit sareng sadayana aya dina bentuk binér anu leres. Pilihan séjén henteu patuh; B contona ngandung angka 2, anu sanés bagian tina sistem angka binér."
