question,gpt_reply
"Segons el text, quin dels següents no es considera un bon consell en tocar l’acordió?",A: Augmenteu la força amb la qual polseu les tecles per aconseguir més volum
"En tocar l’acordió, què us ajudarà a augmentar el volum?",A: Més velocitat
Per què les imatges de televisió apareixen amb les vores retallades?,B: Perquè la imatge cobreixi tota la pantalla
"Segons el text, quins del següents problemes podem trobar-nos en convertir una pel·lícula al format DVD?","Les respostes correctes segons el text són: 

B: Subtítols parcialment tallats  
D: Vores retallades"
On es trobava la guarnició britànica?,C: Bordentown
De qui era la firma que apareixia a l’esborrany escrit a mà?,D: Charles Thomson
"D’entre els següents llocs, a on va arribar per última vegada el fulletó de Dunlap?",C: Londres
On estaven situades les tropes del coronel Stark?,"A: A l’extrem nord, al llarg de la tanca"
"Segons el text, quan van estendre la tanca el homes d’Stark?",C: Durant la marea baixa
"Segons el text, quina de les èpoques següents va ser una de les més violentes de la Xina?",D: L’època dels 3 Regnes
"Segons el text, què ocorre quan una colònia de formigues legionàries entra en una fase nòmada?",B: Es queden gairebé sense aliments
"Segons el text, quina afirmació reflecteix millor els hàbits de construcció de nius de les colònies de formigues legionàries durant la fase nòmada?",C: Canvien de niu diàriament
Quin dels següents continuarà malgrat la presència d’estímuls externs?,C: Rellotges biològics
Quin terme descriu els individus que presenten variants d’una determinada característica fenotípica?,D: Polimòrfics
Quin dels següents és el terme correcte per als organismes que ocupen una àrea determinada?,B: Població
Quin dels següents no seria un exemple de turisme basat en la natura?,C: Visitar un museu científic
"Segons el text, quina de les següents és la base del sistema transport?",B: Cotxes privats
Quin tipus de càrrega tenen les partícules que orbiten al voltant del nucli?,C: Càrrega negativa
De quines partícules es compon el nucli?,A: Protons i neutrons
"Segons el text, quin dels següents és un exemple de número binari de cinc bits?",C: 10010
Què s’entén per dígits binaris?,A: Bits
Quina de les següents opcions no s’esmenta en el text com un dels principals avantatges del blogueig per part dels estudiants?,B: Disminució de les crítiques dels companys
Quin dels següents aspectes del blogueig s’esmenta com a motivació perquè els estudiants millorin les seves habilitats d’escriptura?,B: El desig d’evitar les crítiques
Quin dels següents no és un avantatge de la comunicació asíncrona per als estudiants? ,B: L’accés cara a cara als instructors a qualsevol hora del dia
"Segons el text, quin dels següents aspectes de la comunicació asíncrona no és flexible per als estudiants?",C: El material didàctic
Què és el que no s’esmenta en el text com alguna cosa que es pugui associar als castells medievals?,D: Cavallers
Quina de les següents no s’esmenta en el text com a olor o soroll que podrien venir-nos a la ment a les ruïnes d’un castell?,C: Banquets
Quina de les següents és una descripció correcta del castell de Kirby Muxloe?,B: La seva fortificació es va reduir a causa del període de pau en què es trobava el país en el moment de la seva construcció
Quina de les següents característiques de construcció es consideraria inusual al castell de Kirby Muxloe durant el període de temps descrit en el text?,B: Una base construïda per resistir els atacs
"Segons el text, quina de les següent opcions seria la més beneficiosa per a un corredor que es prepara per a la propera temporada?",D: Treballar al gimnàs per exercitar la part superior del cos
"Segons el text, quin dels següents punts és fonamental per a un corredor de mitja milla de primera classe?",A: Practicar la cursa de camp a través durant els mesos d’hivern
"Per a un esportista, quin dels següents aspectes no pot aconseguir-se únicament amb l’alimentació?",C: Rendiment d’elit
"Segons el text, quina de les següents opcions es recomana als joves esportistes perquè gaudeixin més de l’esport?","La resposta correcta és la combinació de les opcions A, C i D, ja que aquestes aspectes esmentats en el text poden ajudar els atletes a gaudir més de l'esport. Això inclou tenir una alimentació adequada (A), una hidratació eficaç (C) i mantenir un equilibri energètic saludable (D)."
"Segons el text, per què deuria un corredor de mig fons comprar un equip més car?",A: Depèn de les preferències personals
"Segons el text, què es necessita per a la cursa de mig fons?",C: Molt poc equipament
Qui va descobrir la ressonància magnètica nuclear? ,C: Bloch i Purcell
En quin any es va patentar per primera vegada la ressonància magnètica mèdica? ,B: 1974
