question,gpt_reply
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটোৱে আধুনিক আইচ স্কেটৰ ব্লেডত থকা ফোঁপোলাটোক সঠিকভাৱে বৰ্ণনা কৰে?",C: অৱতল
"পাঠাংশ অনুসৰি, পৰমাণুক পোহৰৰ পৰা অতিৰিক্ত শক্তি আঁতৰাবলৈ অনুমতি দিয়া প্ৰক্ৰিয়াটো কি?",D: বিকিৰণৰ উদ্দীপিত নিৰ্গমন
কিহৰ ফলত এটা পৰমাণুৱে এটা ফ'টন নিৰ্গত কৰে?,B: উজ্জ্বল পোহৰৰ ফলত হোৱা উদ্দীপন
"পাঠাংশ অনুসৰি, অৱশেষত কিহৰ ফলত লাইটৰ বাল্ব এটাই কাম কৰা বন্ধ কৰে?",C: বাল্বৰ ভিতৰত থকা ফিলামেন্ট জ্বলি যোৱাৰ বাবে
"লাইট বাল্ব এটা সলনি কৰোঁতে, নিম্নলিখিত কোনটো স্পৰ্শ কৰাটো বিপদজনক হ'ব পাৰে?",C: বাল্বৰ আধাৰ
"পাঠাংশ অনুসৰি, নিউক্লিয়াছ বিভাজিত হ'লে কি হয়?",B: শক্তি মুকলি হয়
নিম্নলিখিত কোনটোৱে দীঘলীয়া দূৰত্বৰ কলসমূহ পৃথিৱীলৈ ঘূৰাই প্ৰতিফলিত কৰে,B: ছেটেলাইট
"এইবোৰৰ কোনটোক, মহাকাশত দূৰবীণ স্থাপন কৰিবলৈ ব্যৱহাৰ কৰা হয়?","B: ৰকেট

বিবৰণ অনুসৰি, ৰকেট হৈছে সেইটো সামগ্ৰী যাৰ সহায়ত মহাকাশত দূৰবীণ স্থাপন কৰা হয়।"
এটা চক্ৰীয় ঘটনাৰ ক্ষেত্ৰত পাৰ হৈ যোৱা সময় ট্ৰেক কৰিবৰ বাবে কোনটো মন কৰিব লাগে?,The correct answer is: B: পুনৰাবৃত্তি (repetition).
"পাঠাংশ অনুসৰি, কোনো ঘটনাৰ কোনটো দিশ তুলনা কৰিবলৈ সময় ব্যৱহাৰ কৰা হয়?",A: দৈৰ্ঘ্য
"পাঠাংশ অনুসৰি, সিংহাসনৰ উত্তৰাধিকাৰীৰ বাবে নিম্নলিখিত কোনটো সাধাৰণ বুলি গণ্য কৰা হয়?",D: সামৰিক বাহিনীত যোগদান কৰাৰ আগতে বিশ্ববিদ্যালয়লৈ যোৱা
"পাঠাংশত দিয়া তথ্যৰ ওপৰত আধাৰ কৰি, চাৰ্লছে প্ৰথমে কি কৰিছিল?",C: ডিগ্ৰী অৰ্জন
ট্ৰিগভাছনৰ ফ্লীট কোনখন দেশৰ পৰা আছিল?,D: ন'ৰৱে
ইতিহাসৰ কোন সময়ত জাৰ্মানীয়ে এষ্টোনিয়াৰ ওপৰত শক্তিশালী সাংস্কৃতিক প্ৰভাৱ পেলাইছিল?,C: প্ৰায় ৬০০ বছৰৰ পূৰ্বে
এষ্টে’নিয়ান ভাষা কিহৰ দ্বাৰা প্ৰভাৱিত হৈছিল?,B: জাৰ্মান বৰ্ণমালা
"পাঠাংশ অনুসৰি, কোনটো কাৰকৰ ওপৰত আধাৰ কৰি স্থানীয় হিন্দীভাষীৰ সংখ্যা উঠা-নমা হয়?",A: যদি হিন্দীৰ সৈতে একে মিল থকা উপভাষা গণনা কৰা হয়
নিম্নলিখিত কোনটো হিন্দী আৰু উৰ্দু ভাষাৰ বিষয়ে এটা সঁচা মন্তব্য?,B: সেইবিলাকৰ লিপি পৃথক
নিম্নলিখিত কোনটো হেংগৱেল বৰ্ণমালাৰ বিষয়ে সঠিক তথ্য নহয়?,"B: বৰ্ণমালাৰ মূল নাম আছিল হুনান জিয়ঞ্জিয়াম

The correct name for the script initially was ""훈민정음"" (Hunminjeongeum), not ""হুনান জিয়ঞ্জিয়াম""."
হুনমিন জিয়ঞ্জিয়াম বৰ্ণমালাটো অৱশেষত কিহলৈ সলনি কৰা হৈছিল?,The correct answer is B: হেংগৱেল.
"পাঠাংশ অনুসৰি, কোনবোৰ ভাষা সংস্কৃতৰ দ্বাৰা প্ৰভাৱিত হৈছে?",D: ভাৰতীয় ভাষাসমূহ
"পাঠাংশ অনুসৰি, কিহৰ বাবে সংস্কৃতৰ ব্যৱহাৰ হ্ৰাস পাইছিল?",D: পদানুক্ৰম
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটো আইঅ'ৰ মাধ্যাকৰ্ষণ সম্পৰ্কে এক সঠিক বিবৃতি?",D: পৃথিৱীৰ মাধ্যাকৰ্ষণে আইঅ'ৰ মাধ্যাকৰ্ষণতকৈ আপোনাক অধিক টানে
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটো মন্তব্যই চন্দ্ৰৰ বাহিৰৰ স্তৰক সঠিকভাৱে বৰ্ণনা কৰে?",C: দূৰৰ ফালে কম মাৰিয়া থাকিব পাৰে
"পাঠাংশ অনুসৰি, চন্দ্ৰৰ আৱৰণৰ আটাইতকৈ ডাঠ অংশ ক'ত আছে?",C: হাইলেণ্ডৰ তলত
"পাঠাংশৰ ওপৰত আধাৰ কৰি, নিম্নলিখিত কোনটোক কিছুমান লোকে বিশ্বাস কৰে?",C: জীৱন আন গ্ৰহবোৰত বিদ্যমান
"আপুনি সূৰ্যৰ কেন্দ্ৰৰ পৰা যিমানে আগবাঢ়িব, সিমানে কি পাতল হয়?",C: গেছ
"পাঠাংশ অনুসৰি, পৃথিৱীৰ পৰা সূৰ্যৰ কোনটো অংশ দৃশ্যমান?","The correct answer is:

C: আলোক মণ্ডল (Photosphere)"
নিম্নলিখিত কোনটো পৰ্যৱেক্ষণে কোপাৰনিকাছ তত্ত্বটো নিশ্চিত কৰাত সহায় কৰিছিল?,A: শুক্ৰ গ্ৰহৰ পৰ্যায়সমূহ
নিম্নলিখিত কোনটো ১৬১০ চনত গেলিলিঅ’ গেলিলিয়ে অৱলোকন কৰিছিল?,B: শুক্ৰ গ্ৰহৰ পৰ্যায়সমূহ
"পাঠাংশ অনুসৰি, আমাজন নদীয়ে ক'ৰ পৰা পানী সংগ্ৰহ কৰে?",A: সৰু নদী
কোনটো প্ৰশংসা আমাজন নদীৰ বাবে আৰোপিত নহয়?,C: ই আটাইতকৈ দীঘল নদী
পাঠাংশত উল্লেখ কৰা কোনটো খণ্ডত আটাইতকৈ কম সংখ্যক ভেনিজুৱেলাবাসী নিয়োজিত আছিল?,"The correct answer is C: খনি (Mining). The passage does not mention the mining sector, but given the context, among the provided options, it seems to be a sector not involved in the employment distribution described."
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটো খণ্ডত সৰ্বাধিক সংখ্যক ভেনিজুৱেলাবাসী নিয়োজিত?",A: সেৱা
"পাঠাংশ অনুসৰি, ফিউজনে তৰাবোৰক কি কৰিবলৈ অনুমতি দিয়ে?",C: পোহৰ আৰু তাপ এৰি দিয়া
নিম্নলিখিত কোনটো উপযোগী ফিউজন ৰিয়েক্টৰে সৃষ্টি কৰিব?,D: শক্তি
পানীৰ ৰাসায়নিক ৰূপ কি?,The correct answer is D: দুটা হাইড্ৰ’জেন পৰমাণু আৰু এটা অক্সিজেন পৰমাণু.
"যেতিয়া পানীয়ে ৰূপ সলনি কৰে, কি একে থাকে?",A: আণৱিক গাঁথনি
"পাঠাংশ অনুসৰি, কিছুমান আইন জাপি দিবলৈ চেষ্টা কৰোঁতে তেৰখন ৰাজ্যৰ বাবে নিম্নলিখিত কোনটো সমস্যা নাছিল?",A: ৰাজ্যিক কৰ্তৃপক্ষৰ পৰা অধিক পৰ্যবেক্ষণ
"পাঠাংশ অনুসৰি, কোনটো বিবৃতিয়ে বিপ্লৱী যুদ্ধৰ সময়ত কেন্দ্ৰীয় চৰকাৰৰ অৱস্থা সঠিকভাৱে প্ৰতিফলিত কৰে?",C: ৰাজ্যিক প্ৰতিনিধিসকলৰ উপস্থিতিৰ অভাৱ আছিল
স্বাধীনতাৰ ঘোষণাপত্ৰৰ পিছফালে থকা শব্দবোৰ কেনেদৰে লিখা হয়?,C: ওপৰ দিশ তলমুৱাকৈ
নিম্নলিখিত কোনটোৰ বাবে ছিংগাপুৰ বিখ্যাত?,A: চহৰীয়া সেউজীয়া
ভাণ্ডা মিছ জোৱাকুইম কি?,B: এপাহ ফুল
"পাঠাংশ অনুসৰি, নতুন সাম্ৰাজ্যৰ ইজিপ্তৰ লোকসকলে গিজা পিৰামিডৰ কোনটো গুণ দেখি আচৰিত হোৱাৰ সম্ভাৱনা নাছিল?",B: শিলৰ ব্যৱহাৰ
"পাঠাংশ অনুসৰি, বৰষুণৰ বাবে তৃণভোজী প্ৰাণীবোৰে ক'ৰ পৰা ভ্ৰমণ কৰে?",B: উত্তৰ পাহাৰ
"পাঠাংশ অনুসৰি, এপ্ৰিলৰ আশে-পাশে কোনো সময়ত তৃণভোজী প্ৰাণীবোৰ কোন অঞ্চলৰ পৰা প্ৰস্থান কৰে?",A: চেৰেঙ্গেটি অঞ্চল
অপাৰেচন চিলিয়ন কোনখন দেশৰ আক্ৰমণ আছিল?,B: ব্ৰিটেইন
জাৰ্মানীয়ে ব্ৰিটেইনৰ ওপৰত হোৱা আক্ৰমণক কি বুলি কৈছিল?,B: অপাৰেচন চিলিয়ন
আফ্ৰিকাৰ দেশসমূহ দখল কৰাৰ বাবে ইটালীৰ পৰিকল্পনাত এক প্ৰয়োজনীয় পদক্ষেপ হিচাপে কি উল্লেখ কৰা হোৱা নাই?,B: অতিৰিক্ত জাহাজ নিৰ্মাণ কৰা
"পাঠাংশ অনুসৰি, যুদ্ধৰ বাবে ইটালীৰ প্ৰাথমিক উদ্দেশ্য কি বুলি গণ্য কৰা হৈছিল?",A: আফ্ৰিকাৰ দেশসমূহ দখল কৰা
আক্ৰমণকাৰীসকলৰ সৈতে কোনে বন্ধুত্বপূৰ্ণ সম্পৰ্ক স্থাপন কৰিছিল?,B: দ্য ভিচি ফ্ৰান্স
অপাৰেশ্বন ড্ৰেগনত মিত্ৰশক্তি কোন জড়িত আছিল?,A: আমেৰিকান আৰু মুক্ত ফৰাচী
কি প্ৰযুক্তিৰ বিকাশৰ ফলত চাবমেৰিনে পানীৰ তলত ভ্ৰমণ আৰম্ভ কৰিছিল?,D: ৰাডাৰ
"তেওঁলোকৰ প্ৰথম ব্যৱহাৰৰ সময়ত, চাবমেৰিনৰ কোনটো ক্ষেত্ৰ অতি সীমিত পৰিসৰ আছিল?",The correct answer is C: শ্বুটিং (Shooting)
"পাঠাংশ অনুসৰি, কোনে চুক্তি উলংঘা কৰিছে? ",D: ছোভিয়েট
নিম্নলিখিত কোনটো ৰেড আৰ্মীয়ে সম্পন্ন কৰা নাছিল?,C: ব্ৰিজহেডৰ সৈতে এটা পুনৰ গঠন
ইটালীৰ দশম সেনাৰ ইঞ্জিনিয়াৰ-ইন-চীফৰ কি হ'ল?,C: তেওঁক ব্ৰিটিছে বন্দী কৰিছিল
ইটালো বালবোক ক'ত হত্যা কৰা হৈছিল?,"The correct answer is:

D: তব্ৰুক"
