question,gpt_reply
Quyidagi gaplardan qaysi biri sherlarning xatti-harakatlarini to'g'ri tasvirlamaydi?,D: Ularning xatti-harakatlari boshqa yirik mushuklarning xatti-harakatlariga o'xshaydi
Quyonlar qaysi turdagi yirtqichlar uchun doimiy o'lja hisoblanadi?,C: O'rta kattalikdagi mushuksimonlar
Quyidagilardan qaysi biri odatda kichik mushuksimonlar tomonidan ovlanadi?,A: Kemiruvchilar
Quyidagilardan qaysi biri otselotning ovlash usulining bir qismi emas?,"D: Faqat kichikroq hayvonlarni ovlash

Otselotlar, odatda, o'zidan kichikroq hayvonlarni ovlashadi, lekin bu ularning ovlash usulining bir qismi emas. Ularning ovlash usuli atrof-muhit bilan uyg'unlashish, o'lja hayvonlarning hididan borish va tunda o'ljalarini ta'qib qilishni o'z ichiga oladi."
Quyidagilardan qaysi biri otselotni to'g'ri tasvirlamaydi? ,C: Ularning hid sezish qobiliyati kuchsiz
Quyidagilardan qaysi biri yo'lbarsning eng kuchli tomoni hisoblanmaydi?,A: O'kirish
"Matnga ko'ra, yo'lbarslar va sherlar o'rtasidagi farq nimada?",B: Ularning o'kirish ovozi
"Matnga ko'ra, Robert Huk boshqa biologlardan oldinroq nima qilgan?",A: O'lik hujayralarni kuzatish
“Hujayra” so'zi nimani anglatadigan so'zdan kelib chiqqan?,B: Kichkina xona
"Matnga ko'ra, ko'pchilik hayvonlar nima qilish qobiliyatiga ega?",B: Harakatlanish
"Matnga ko'ra, ba'zi hayvonlarda nima yo'q?",C: Miyalar
Fotosintez jarayonida o'simliklarga nima yordam beradi?,D: Quyosh
Odamlar o'simliklar o'ziga oluvchi nimani nafas bilan chiqaradi?,D: Karbonat angidrid
"Matnga ko'ra, quyidagi misollardan qaysi biri evolyutsiya jarayoniga xalaqit beradi?",A: Yangi hududda rivojlanib ketolmagan kichik guruh
Quyidagi gaplardan qaysi biri turlar hosil bo'lishi jarayonini to'g'ri tasvirlamaydi? ,A: Bu yangi populyatsiya moslasha olmaganida sodir bo'ladi
Qon aylanish tizimining qaysi qismi qonni yurakka yetkazib beradi?,D: Venalar
Qon aylanish tizimidagi eng kichik tomirlar qaysi?,A: Kapillyarlar
Hasharotlarning qanotlarini orqaga bukish qobiliyati quyidagilardan qaysi birini oshiradi?,B: Yashirinadigan joylar
Quyidagilardan qaysi biri matnda hasharotning uchish qobiliyati ta'sir qiladigan narsa sifatida tilga olinmagan?,B: Hayot davomiyligi
Quyidagi xususiyatlardan qaysi biri odatda dinozavrlar bilan bog'lanmaydi?,B: Patlar
Quyidagilardan qaysi biriga odatda qushlar va dinozavrlarning umumiy xususiyati sifatida qaralmaydi?,"C: Uchish qobiliyati

Uchish qobiliyati odatda dinozavrlarning umumiy xususiyatiga kirmaydi, chunki ko'p dinozavrlar ucha olmagan. Qushlar bilan dinozavrlarning umumiy xususiyatlariga esa tuxum qo'yish, ikkita orqa oyoqda yurish va tirnoqli oyoqlarga ega bo'lish kiradi."
"Matnga ko'ra, Triseratop sikad o'simligining qaysi qismini iste'mol qilgan bo'lishi mumkin?",B: Daraxt tanasi
"Matnga ko'ra, Triseratop quyidagilardan qaysi birini iste'mol qilgan bo'lishi mumkin? ",B: Mustahkam shoxlari bor o'simlik
"Matnga ko'ra, quyidagi sport turlaridan qaysi biri Italiyaning eng shimoliy hududlarida keng tarqalgan bo'lishi mumkin?",C: Snoubording
"Matnga ko'ra, quyidagi sport turlaridan qaysi biri Italiya uchun jahon chempionligini olib keldi?",A: Futbol
Qaysi voqeadan keyin Lyuksemburgning ayrim hududlari Belgiyaga aylandi?,B: Belgiya inqilobi
Quyidagilardan qaysi biri Lyuksemburgning betarafligiga ta'sir qildi?,A: Germaniya istilosi
Turkiya umumiy maydonining necha kvadrat kilometri Yevropada joylashgan?,D: 23 764
"Matnga ko'ra, Turkiyaning uzunligi necha milya?",D: 1000
Vatikan shahrida lotin tili nima uchun ishlatiladi?,A: Diniy marosimlar
Vatikan shahrida italyan tili nima uchun ishlatilmaydi?,C: Diniy marosimlar
"Matnga ko'ra, murakkab kompyuterlarda audio aralashtirish quyidagilardan qaysi biriga foyda beradi?",A: Musiqa
"Matnga ko'ra, qaysi joydagi ko'pchilik uylarda oqiziluvchi hojatxonalar bo'lgan?",A: Moxenjo-daro
Quyidagi joylardan qaysi birida rivojlangan kanalizatsiya tizimlari topilgan?,A: Harappa
Quyidagilardan qaysi biri konkichining burilishiga sabab bo'ladi?,A: Konki tig'ining tag qismidagi kichik egilish
"Matnga ko'ra, quyidagilardan qaysi biri zamonaviy konki tig'idagi bo'shliqni to'g'ri tasvirlaydi?",C: Botiq
"Matnga ko'ra, atomlarga yorug'likdan ortiqcha energiya chiqarishga imkon beradigan jarayon nima?",D: Qo'zg'atilgan nurlanish emissiyasi
Nima atomning foton chiqarishiga sabab bo'ladi?,B: Kuchli yorug'lik bilan qo'zg'atish
"Matnga ko'ra, oxir-oqibat lampochkaning ishlamay qolishiga nima sabab bo'ladi?",C: Lampochka ichidagi tolalarning kuyib ketishi
Lampochkani almashtirishda quyidagilardan qaysi biriga tegish xavfli bo'lishi mumkin?,C: Lampochkaning asosi
"Matnga ko'ra, yadro bo'linganida nima sodir bo'ladi?",B: Energiya chiqariladi
Quyidagilardan qaysi biri yerga shaharlararo qo'ng'iroqlarni qaytaradi,B: Sun'iy yo'ldoshlar
Quyidagilardan qaysi biri teleskopni kosmosga olib chiqish uchun ishlatiladi?,B: Raketalar
Vaqt o'tishini kuzatish uchun davriy hodisada nimaga e'tibor qaratish kerak?,B: Qaytarilish
"Matnga ko'ra, vaqt hodisaning qaysi jihatini taqqoslash uchun ishlatiladi?",A: Uzunligi
"Matnga ko'ra, quyidagilardan qaysi biri taxt vorisi uchun odatiy hisoblanadi?",B: Harbiy xizmatga borish uchun universitetdan voz kechish
"Matnga ko'ra, Charlz birinchi bo'lib nima qilgan?",C: Ilmiy daraja olgan
Trigvasson floti qaysi mamlakatdan edi?,D: Norvegiya
Tarixning qaysi davrida Germaniya Estoniyaga kuchli madaniy ta'sir ko'rsatgan?,C: Taxminan 600 yil oldin
Eston tiliga nima ta'sir qilgan?,B: Nemis alifbosi
"Matnga ko'ra, hind tilida so'zlashuvchilar soni qaysi omilga qarab o'zgarib turadi?",A: Hind tiliga o'xshash lahjalar hisobga olinishi yoki olinmasligi
Quyidagi gaplardan qaysi biri hind va urdu tillari haqida to'g'ri ma'lumot bergan?,B: Ular yozuvda farq qiladi
Quyidagilardan qaysi biri Hangul alifbosi haqidagi to'g'ri fakt emas?,B: Alifboning dastlabki nomi Hunan Jeongeum edi
Hunmin Jeongeum alifbosi oxir-oqibat nimaga o'zgartirilgan?,B: Hangul
"Matnga ko'ra, sanskrit tili qaysi tillarga ta'sir qilgan?",D: Hind tillari
"Matnga ko'ra, sanskrit tilidan foydalanish nima uchun kamaydi?",D: Iyerarxiya
"Matnga ko'ra, quyidagilardan qaysi bir Iodagi tortishish kuchi haqida to'g'ri ma'lumot bergan?",D: Yerning tortishish kuchi sizni Io tortishish kuchidan ko'ra ko'proq tortadi
"Matnga ko'ra, quyidagilardan qaysi biri oyning tashqi qatlamini to'g'ri tasvirlaydi?",D: Tog'li yerlar ostida kamroq mariya bo'lishi mumkin
"Matnga ko'ra, Oy qobig'i qayerda eng qalin?",C: Tog'li yerlar ostida
"Matnga ko'ra, ba'zi odamlar quyidagilardan qaysi biriga ishonadi?",C: Boshqa sayyoralarda hayot mavjud
Quyosh markazidan uzoqlashganda nima yupqalashib boradi?,C: Gaz
"Matnga ko'ra, quyoshning qaysi qismi Yerdan ko'rinadi?",C: Fotosfera
Quyidagi kuzatuvlardan qaysi biri Kopernik nazariyasini tasdiqlashga yordam berdi?,A: Veneraning fazalari
Quyidagilardan qaysi biri 1610-yilda Galileo Galiley tomonidan kuzatilgan?,B: Veneraning fazalari
"Matnga ko'ra, Amazonka daryosi suvni qayerdan oladi?",A: Kichikroq daryolar
Qaysi ko'rsatkich Amazonka daryosiga tegishli emas?,C: U eng uzun daryo
Matnda keltirilgan qaysi faoliyat sohasida venesuelaliklarning eng kam soni band?,C: Neft sohasi
"Matnga ko'ra, quyidagi sohalarning qaysi birida eng ko'p venesuelaliklar xizmat qiladi?",A: Xizmatlar
"Matnga ko'ra, termoyadroviy sintez yulduzlarga nima qilishga imkon beradi?",C: Yorug'lik va issiqlik chiqarish
Quyidagilardan qaysi birini foydali termoyadroviy reaktor yaratishi mumkin?,A: Vodorod
Suvning kimyoviy tarkibi qanday?,D: Ikkita vodorod atomi va bitta kislorod atomi
Suv shaklini o'zgartirganda nima o'zgarmay qoladi?,A: Molekulyar tuzilish
"Matnga ko'ra, quyidagilardan qaysi biri muayyan qonunlarni kiritishga urinishda o'n uchta shtat uchun muammo bo'lmagan?",A: Shtat rahbariyati tomonidan qattiq nazorat
"Matnga ko'ra, qaysi bayonot Inqilobiy urush paytida Markaziy hukumatning holatini to'g'ri aks ettiradi?",C: Shtat vakillarining ishtiroki yo'q edi
Mustaqillik Deklaratsiyasining orqa tomonidagi so'zlar qanday yozilgan?,C: Teskari tarzda
Singapur quyidagilarning qaysi biri bilan mashhur?,A: Shahardagi yashillik
Vanda Miss Joakim nima?,B: Gul
"Matnga ko'ra, Giza piramidalarining qaysi jihati Yangi qirollik davridagi misrliklarning hayratiga sabab bo'lishi dargumon edi?",A: Ularning yoshi
"Matnga ko'ra, o'txo'r hayvonlar yomg'irga yetishish uchun qayerdan keladi?",B: Shimoliy tepaliklar
"Matnga ko'ra, o'txo'r hayvonlar aprel oyida qayerdan ketadi?",B: Janubiy tekisliklar
“Dengiz sheri” operatsiyasi qaysi davlatga bostirib kirish operatsiyasi edi?,B: Britaniya
Germaniya Buyuk Britaniyaga hujumni qanday atagan?,B: “Dengiz sheri” operatsiyasi
Italiyaning Afrika mamlakatlarini bosib olish rejasida zarur qadam sifatida nima tilga olinmagan?,B: Qo'shimcha kemalar qurish
"Matnga ko'ra, Italiyaning urushdagi asosiy maqsadi nima deb hisoblangan?",A: Afrika davlatlarini egallash
Bosqinchilar bilan do'stona munosabatlarni kim o'rnatgan?,B: Vichi fransuzlar
“Ajdar operatsiyasi”da ishtirok etgan ittifoqchilar kimlar edi?,A: Amerikaliklar va Ozod fransuzlar
Qaysi texnologiyaning rivojlanishi suv osti kemalarining suv ostida yurishiga olib keldi?,D: Radar
Ilk foydalanish paytida suv osti kemalari qaysi sohada juda cheklangan edi?,C: O'q otish
"Matnga ko'ra, kim kelishuvni buzdi? ",D: SSSRliklar
Quyidagilardan qaysi biri qizil armiya tomonidan amalga oshirilmagan?,C: Platsdarm bo'ylab qayta shakllanish
Italiyaliklarning O'ninchi armiyasi bosh muhandisiga nima bo'ldi?,C: U Britaniyaliklar tomonidan qo'lga olingan
Italo Balbo qayerda o'ldirilgan?,D: Tobruk
"Matnga ko'ra, quyidagi usullardan qaysi biri Tibet meditatsiyasining muhim qismidir?",C: Ilohlarni vizualizatsiya qilish
"Matnga ko'ra, Tibet meditatsiyasining “markazi” paytida chakralar qanday faollashadi?",B: Ilohlarni vizualizatsiya qilish orqali
Dastur davomida kim ikkinchi bag'ishlov qo'shiqni taqdim etdi?,D: Jay Shankar Choudxari
