question,gpt_reply
Kes vastutasid rüüstamise eest paari Bishkeki elaniku meelest?,C: Protestijad
Kes süüdistasid rüüstamises lõunast pärit protestijaid?,A: Bishkeki elanikud
Millal tabas Ringi suurenenud müük?,A: Pärast esinemist Shark Tankis
Millal otsustas Jamie Siminoff luua Ringi?,"A: Kui ta mõistis, et ta enda uksekell on puudulik"
Mida soovitas iga „Reading Rainbow“ osa lastele?,D: Raamatuid
Mis aitas kaasa „Reading Rainbow“ seeria lõpetamisele?,A: Ebapiisav rahastus
Mis argumenti Amsterdami ja muuseumi ametnikud puu osas ei kasutanud?,B: Seda peaks säilitama
RSPCA peainspektori kohaselt peaksid inspektsioonid olema standardiks mille puhul?,D: Tapamajad
"Vastavalt sellele lõigule, mis aitaks kindlustada loomade heaolu olulisust Austraalia tapamaja töötajate hulgas?",A: CCTV kaamerate paigaldamine
"Vastavalt sellele lõigule, mis ametit arreteeritud isik pidas?",A: Õpilane
"Vastavalt sellele lõigule, mitmele ohvrile korraldati järjekordse arreteerimise uudise levides matused?",B: Kolm
Mis riik ei tulnud protestide tõttu ACTA lepinguga kaasa?,B: Poola
"Vastavalt sellele lõigule, mis riigid otsustasid ACTA-ga ühinemise protsessist loobuda?",D: Läti
Mitu inimest sai iPodi ülekuumenemise juhtumite tõttu vigastada?,A: 4
"Kes ütles, et ülekuumenemine pole tõsine probleem?",D: Apple
Mille leiutab Steve Jobsi sõnul Apple uuesti?,B: Telefon
Mis oli Steve Jobsi kahetunnise kõne eesmärk?,C: Uue telefoni tutvustamine
Mida teatas Cristina Fernandez de Kirchner Argentine Theatre‘is?,A: Et kandideerib presidendiks
Kus Cristina Fernandez de Kirchner oma kavatsusest kandideerida teada andis?,"C: Argentine Theatre‘is, mis on 31 miili kaugusel Buenos Airesest"
Mis olid ACMA leiud seoses Big Brotheriga?,A: Tsensuuriseadusi pole rikutud
"Mis parameetritele peab meedia vastama, et olla interneti sisu?",B: See peab füüsiliselt serveris paiknema
Kes on Austraalia liberaalpartei juht?,B: John Howard
Miks pole Austraalial juba tuumaenergiatööstust?,D: Liiga kallis
Mis suusataja lõpetas giidi abil?,C: Maciej Krezel
Mis riik lõpetas kümnendal kohal Super-G naiste klassis?,A: Soome
"Vastavalt sellele lõigule, milline väide Blake‘i kohta on väär?",B: Ta tunnistas rünnaku üles
"Vastavalt sellele lõigule, mis ei juhtunud Blake‘iga?",C: Teda rünnati teibaga
Milleks ÜRO globaalse soojenemise fondi ei kasutata?,B: Tehnoloogia viimiseks arenguriikidesse
"Vastavalt sellele lõigule, mida loodab ÜRO päästa?",C: Allesjäänud vihmametsasid
"Mida neist Albert Muchanga ei nimetanud kui miskit, milles tuleb veel kokkuleppele jõuda?","B: Kuupäev, mil kauplemine võib alata"
"Vastavalt sellele lõigule, miks võib kauplemine alata juulis?",B: Piisav reeglite ja järeleandmiste raamistik on jõus
"Vastavalt sellele lõigule, milles süüdistas Atlanta Journal-Constitution haridusametnikke?",C: Avastatud sisemiste probleemide eiramises
"Vastavalt sellele lõigule, mida Atlanta Journal-Constitutioni aruandes ei mainitud?",D: Soovitused hariduse uuendamiseks linnades
"Vastavalt sellele lõigule, mis informatsioon on pommitamise järel teada?",D: Ametlik hukkunute arv
Mitu matši on Jesus mänginud pärast Manchester Cityga ühinemist 2017. aastal?,D: 53
Mis klubist sai Jesus 27 miljoni naelase ühinemistasu?,A: Palmeiras
Milline väide hosteli külaliste kohta ei vasta tõele?,D: Enamik külalistest oli pärit pühast linnast
"Vastavalt sellele lõigule, milline järgmistest väidetest vastab tõele?",C: Külalised olid tulnud palverännakule hadži eelõhtuks
"Vastavalt sellele lõigule, millises väites kokkupõrke kohta ei saa kindel olla?",A: Kokkupõrke suurus
"Vastavalt sellele lõigule, mida tuleb kokkupõrke osas veel määrata?",D: Kokkupõrke tegelikku ulatust
"Vastavalt sellele lõigule, mis koht oli Battenil Ameerika rikkaimate nimekirjas?",C: 190.
Kellele neist tegi Batten annetuse?,B: Virginia ülikoolile
Mis järgnevast ei ole osa kuberner Arnold Schwarzeneggeri allkirjastatud seaduseelnõust?,C: Keeld müüa või laenutada alaealistele vägivaldseid videomänge väljaspool Californiat
"Vastavalt sellele lõigule, kes ei kuulnud, mida öeldi?",C: Miller
"Vastavalt sellele lõigule, milline oli Milleri kogemus istungil?",B: Ta ei olnud valmistumise ajal tähelepanelik
Kes soovitas muuta seadust „Clean Air Act“?,C: Jack Layton
"Kes eitas, et seadust „Clean Air Act“ kasutati valimiste-eelse trikina?",B: Peaminister
Mille moodustasid tsüanuurhape ja melamiin kassiuriinis üksteisega reageerides?,C: Kristallid
Mida jälgisid teadlased infrapuna spektroskoopia abil?,B: Kristallide koosseisu lemmiklooma uriinis
Kes kutsus Lunat ekstreemsuste kuningannaks?,D: Tommy Dreamer
Kes kutsus Lunat veidraks?,B: Dustin Runnels
Mis ei juhtunud avariiga seotud juhiga?,C: Ta viidi Cambridge‘i haiglast Great Yarmouthi haiglasse
"Mis polnud see, mille poolest Lõuna-Aafrika ragbiturniiril silma paistis?",C: Lihvitud sooritus turniiri alguses
"Vastavalt sellele lõigule, millal hakkas Lõuna-Aafrika mäng paranema?",D: Turniiri jätkudes
"Vastavalt sellele lõigule, milline väide ei kehti Hiina majandusele?","D: Hiina pole kunagi eksportinud rohkem autosid kui Saksamaa

See väide ei kehti, sest lõigu kohaselt eksportis Hiina eelmisel aastal esimest korda rohkem autosid kui Saksamaa."
"Vastavalt sellele lõigule, millal võib Hiina SKT USA omast mööduda?",B: Kahe kümnendi jooksul
Mida soovitas Hu arenevatel riikidel teha?,D: Vältida vanu reostamise radasid
Mida Hu ei maininud?,D: Süsinikuheite kärbete numbrit
Kelle jaoks polnud Veermani sõnul olukord hea?,B: Angola
