question,gpt_reply
"В соответствии с приведённым текстом, что из перечисленного не является верным советом для успешной игры на аккордеоне?",A: Для получения более громкого звука сильнее нажимайте на клавиши
При игре на аккордеоне что из перечисленного поможет увеличить громкость?,A: Увеличение скорости растягивания мехов
Почему края изображения в телевизоре обрезаны?,B: Чтобы изображение занимало весь экран
"В соответствии с приведённым текстом, с какими из перечисленных проблем можно столкнуться при конвертировании фильма в формат DVD?","Правильные ответы: B: Субтитры могут быть частично обрезаны, D: Края изображения будут обрезаны."
Где находился гарнизон англичан?,C: Бордентаун
Чья подпись стояла на рукописном проекте?,D: Чарльза Томсона
Куда из перечисленных мест листовки Данлапа прибыли позже всего?,C: В Лондон
Где находились войска полковника Старка?,"A: С северного конца, вдоль забора"
"В соответствии с приведённым текстом, когда люди Кларка продлили ограждение?",C: Во время отлива
"В соответствии с приведённым текстом, что из перечисленного было одним из самых жестоких периодов в истории Китая?",D: Период Троецарствия
"В соответствии с приведённым текстом, какое из утверждений о переходе колонии муравьёв-кочевников в кочевую фазу является верным?",B: Они испытывают недостаток в пище
"В соответствии с приведённым текстом, какое утверждение точно отражает то, как колонии муравьёв-кочевников стоят гнёзда во время кочевой фазы?",C: Они меняют гнёзда ежедневно
Что из перечисленного будет продолжаться даже при наличии внешних стимулов?,C: Биологические часы
"Какой термин описывает особи, у которых проявляется вариативность определённого фенотипического признака?",D: Полиморфные
"Какой из перечисленных терминов является правильным по отношению к организмам, занимающим определённую географическую область?",B: Популяция
Что из перечисленного не является примером природного туризма?,C: Посещение научного музея
"В соответствии с приведённым текстом, что из перечисленного является основой транспортной системы?",B: Персональные автомобили
"Какой тип заряда имеют частицы, вращающиеся вокруг ядра?",C: Отрицательный заряд
Из каких частиц состоит ядро?,A: Протоны и нейтроны
"В соответствии с приведённым текстом, что из перечисленного является примером пятибитного двоичного числа?","В соответствии с приведённым текстом, правильный ответ - это C: 10010, так как это пятибитное двоичное число (состоит из 5 битов и содержит только 0 и 1)."
Как ещё называются двоичные цифры?,A: Биты
Что из перечисленного не упоминается в приведённом тексте как основное преимущество ведения блогов учащимися?,D: Большее желание продолжать учёбу
Какой из следующих аспектов ведения блогов упоминается как мотивирующий фактор для улучшения навыков письма учащимися?,B: Желание избежать критики
Что из перечисленного не является преимуществом асинхронной связи для учащихся? ,B: Личное общение с преподавателем в любое время суток
"В соответствии с приведённым текстом, какой из перечисленных аспектов асинхронной связи не является гибким для учащихся?",C: Учебные материалы
"Что не упоминается в приведённом тексте как нечто, что можно ассоциировать со средневековыми замками?",A: Подземелья
"Что из перечисленного не упоминается в приведённом тексте как запах или звук, которые можно представить, находясь среди руин замка?",C: Пиршества
Что из перечисленного является точным описанием замка Кирби Муксло?,"B: Во время строительства в стране было спокойно, поэтому требовалось лишь небольшое укрепление"
Какие из перечисленных конструктивных особенностей можно считать нетипичными для замка Кирби Муксло в описанный в приведённом тексте период?,A: Огромные окна
"В соответствии с приведённым текстом, что из перечисленного наиболее эффективно для подготовки бегуна к предстоящему сезону?",D: Работа в спортзале для верхней части тела
"В соответствии с приведённым текстом, что из перечисленного наиболее важно для первоклассного бегуна на полмили?","B: Тренировка в первую очередь выносливости, а не скорости"
Чего из перечисленного спортсмен не может достичь только за счёт питания?,C: Высочайшие результаты
С учётом приведённого текста что из перечисленного не рекомендуется молодым спортсменам для увеличения удовольствия от занятий спортом?,B: Постоянное достижение высочайших результатов
"В соответствии с приведённым текстом, почему бегун на средние дистанции может предпочесть покупать более дорогое оборудование?",A: Это личные предпочтения
"В соответствии с приведённым текстом, что необходимо для бега на средние дистанции?",C: Очень мало оборудования
Кто открыл ядерный магнитный резонанс? ,C: Блох и Парселл
В каком году был выдан первый патент на использование МРТ в медицинских целях? ,B: 1974
"В соответствии с приведённым текстом, что люди должны хорошо понимать, чтобы интерпретировать физические действия других?",B: Намерение
"В соответствии с приведённым текстом, чему способствует понимание чужих намерений?",A: Устранению неопределённости в отношении физических действий
"В соответствии с приведённым текстом, что из перечисленного является верным описанием основной задачи ИИ?",D: Автоматизация задач
"В соответствии с приведённым текстом, с чем из перечисленного часто ассоциируется ИИ?",C: Научная фантастика
"В соответствии с приведённым текстом, что из перечисленного является сильной стороной людей с моделями конвергентного мышления?",D: Запоминание шаблонов
"В соответствии с приведённым текстом, что из перечисленного не считается центром конвергентного образа мышления?",B: Неспешность
"В соответствии с приведённым текстом, что из перечисленного не считается микровыражением?",D: Жест одобрения
Какое из перечисленных утверждений об интерпретации микровыражений не является верным?,"C: И речь, и выражения лица интерпретируются"
Что из перечисленного стало наиболее важным результатом Ренессанса? ,B: Распространение знаний
В результате Ренессанса что из перечисленного стало менее важным?,A: Способность запоминать услышанное
Что из перечисленного не отражает мотивацию использовать Интернет для долгосрочных контактов?,C: Изучение вариантов при планировании путешествия
Что из перечисленного не отражает мотивацию использовать Интернет для персонального участия?,"A: Поиск рецепта

Поиск рецепта в большей степени связан с поиском информации и удовлетворением практических нужд, чем с персональным участием или взаимодействием."
Когда Западная Европа перестала испытывать сильное иностранное влияние и начала развивать свой собственный стиль?,A: Примерно в конце Средневековья
Результатом чего стало использование пуговиц для застёгивания одежды? ,C: Крестовых походов
"В соответствии с приведённым текстом, что из перечисленного считается эффективным долгосрочным решением экологических проблем?",C: Выявление причины проблем
"В соответствии с приведённым текстом, какие из перечисленных решений не считаются устранением симптоматики экологических проблем?",B: Устранение первопричин проблем
"В какой стране в Европе была первая война, в которой ключевой проблемой стало равновесие власти, а не религиозный контекст?",D: Испания
Какая война иногда описывается как последняя «религиозная война»?,A: Тридцатилетняя война
Какой из перечисленных аспектов католической церкви не был объектом пристального внимания?,B: Должен ли основной догмат религии быть изменён
"В соответствии с приведённым текстом, кто был убит в Версале?",D: Гвардеец
К чему из перечисленного король и королева не были принуждены толпой?,C: Смотреть на обезглавливание гвардейца
Что из перечисленного не было результатом использования Британией нетрадиционных методов ведения войны на море?,C: Были внесены изменения в международное право
Какое из утверждений не описывает точно морскую блокаду Германии со стороны Британии?,"D: Это гарантировало, что нейтральные суда не будут подвергаться опасности

Это утверждение не описывает точно морскую блокаду Германии со стороны Британии, поскольку в тексте упоминается, что блокада и минирование подвергали опасности даже нейтральные суда."
С учётом приведённого текста для кого наиболее вероятен диагноз «рассеянный склероз»?,A: Женщина 32 лет
"В соответствии с приведённым текстом, для чего тем, кто тренируется постоянно, требуется больше поддержки?",A: Негативное отношение к боли
"В соответствии с приведённым текстом, как обычно занимаются фехтованием?",D: В формате дуэли
"В соответствии с приведённым текстом, что из перечисленного является наиболее характерным признаком внутреннего отравления?",D: Пузырёк лекарственных средств рецептурного отпуска
"В соответствии с приведённым текстом, что является наиболее подходящим первым шагом при оценке состояния пострадавшего?",A: Обследовать место происшествия
Какое из перечисленных утверждений не отражает точно процесс проверки пострадавшего?,A: Не беспокойтесь о собственных повреждениях
"Какие изменения, возникшие в результате Французский революции, существенно повлияли на представителей рабочего класса?",B: Смещение приоритетов с классовой принадлежности на способности
После Французской революции от чего стал меньше зависеть успех на военной службе и в других профессиях?,B: Происхождение
Какая услуга общего пользования вызывает наибольшее недовольство в развитых странах?,C: Общественный транспорт
"В соответствии с приведённым текстом, что можно сказать о системах общественного транспорта?","C: Они вызывают множество жалоб со стороны тех, что ими пользуется"
"В соответствии с приведённым текстом, что из перечисленного трудно оценить из-за непредсказуемости поведения водителей?",D: Транспортный поток
Что из перечисленного используется при математическом описании транспортного потока?,D: Плотность транспортного потока
"Что использовали Херши и Чейз, чтобы имплантировать свою ДНК? ",D: Вирусы
От чего зависит возможность передачи мутации потомкам?,A: Являются ли клетки клетками зародышевой линии
"С учётом информации, изложенной в приведённом тексте, от чего не зависят различные результаты мутаций?",A: Сколько генетического материала поражено
"Что из перечисленного не было причиной, по которой древние культуры держали коз?",C: Они обеспечивали общение
Цель игры в гольф — использовать как можно меньше чего?,B: Ударов клюшкой
Где на гольфовом поле трава подстрижена короче?,B: На грине
Какова обычно цель эксперимента?,A: Исключить одну или несколько возможных гипотез
"В соответствии с приведённым текстом, что не помогает в проведении научного исследования?",A: Только научный метод
"В соответствии с приведённым текстом, какое утверждение о торнадо не является верным?",C: Большинство торнадо длятся более трёх часов.
С учётом приведённого текста какое из перечисленных утверждений точно описывает большинство торнадо?,D: Они могут выкорчёвывать деревья
Что из перечисленного люди начали делать в XVI веке?,D: Делать телескопы
Как долго люди увеличивали объекты с помощью линз?,C: Несколько тысяч лет
С учётом приведённого текста что говорит пещера Мухаммеда о его духовных практиках и ценностях?,A: Он ценил покой и изоляцию
"В соответствии с приведённым текстом, для чего сначала использовалось железо?",D: Рельсы
"В соответствии с приведённым текстом, почему деревянные колёса были заменены на железные?",D: Они изнашивались от контакта железными рельсами
"В соответствии с приведённым текстом, что способствовало формированию людей в период Романтизма?",B: География
Какое из перечисленных утверждений не отражает общую идею технологического детерминизма? ,A: Воздействие технологий на общество обусловлено обществом
"В соответствии с приведённым текстом, что из перечисленного не ассоциируется с отведением смычка назад?",A: Более мягкий звук
"В соответствии с приведённым текстом, с чем из перечисленного ассоциируется более мягкий звук?",C: Знак в виде V
"Ископаемые останки показывают, что руки со временем адаптировались в первую очередь для чего из перечисленного?",A: Обращение с предметами
Что из перечисленного точно описывает фаланги у шимпанзе? ,C: Они используются для поддержания веса тела
Отбор убирает новую генетическую вариацию из какого набора?,D: Выраженная вариативность
Какой процесс отвечает за внесение генетической вариации?,C: Мутация
