question,gemini_answer
"Ka kɛɲɛ ni tɛmɛsira in ye, mun de tɛ jate ladilikan ɲuman ye walasa ka akɔridiyɔn fɔ?",1
"N'i bɛ ka akɔridiyɔn fɔ, ninnu jumɛn de b’i dɛmɛ ka dɔfara mankan kan?",3
Munna jabarani jaw kunw tigɛlendo?,1
"Ka kɛɲɛ ni tɛmɛsira in ye, mɔgɔ bɛ se ka nin degun jumɛn kelen de sɔrɔ n'a bɛ ka filimu dɔ yɛlɛma ka ta DVD fɔrima la?",2
Bretaɲi kɛlɛbolo dɔ tun bɛ min?,3
Jɔn de tigɛnɔ yera tigɛra sɛbɛni kan?,1
"Nin yɔrɔ kofɔtɔ ninnu na, Dunlap broadside dɔ sera laban jumɛn na?",3
Kolonɛli Stark ka kɛlɛkulu tun bɛ min?,1
"K'a kɛɲɛ ni tɛmɛsira in ye, Stark ka mɔgɔw y'u ka sinsan bonya tuma jumɛn?",2
"Ka kɛɲɛ ni tɛmɛsira in ye, ninnu jumɛn de tun ye Sini nin juguya waati ba ye?",4
"Ka kɛɲɛ ni tɛmɛsira in ye, mun de ye tiɲɛ ye dugumɛnɛ kulu don tɔ sigiyɔrɔfalen la?",3
"Ka kɛɲɛ ni tɛmɛsira in ye, kumasen jumɛn de bɛ dugumɛnɛkulu ka ɲagada delinakow ye sigiyɔrɔfalen waati la?",2
Fɔta jumɛn de bɛ taa fɛ hali ni kɛnɛma taamasiɲɛw bɛ yen?,2
Kumaden jumɛn de bɛ mɔgɔw ɲɛfɔ minnu kɛcoko n’u yɛrɛ jogo tɛ kelen ye?,4
Ninnu cɛla jumɛn kelen de ye danɲɛ ye min bɛ nimafɛw minnu bɛ sinsin yɔrɔ kɛrɛnkɛrɛnna ?,1
Ninnu jumɛn de tɛ se ka kɛ kunkokanu yɔrɔlajɛli misaliya baara ye?,1
"Ka kɛɲɛ ni tɛmɛsira in ye, tiransipɔri fɛrɛɛ sigile bɛ jumɛn kelen de ka?",2
Paritikili minnu bɛ ka kɔnɔna munumunu kuran sugu jumɛn b’olu?,1
Kɔnɔna dilannen do ni paritikili jumɛnw ye?,1
"Ka kɛɲɛ ni tɛmɛsira in ye, jumɛn kelen de ye misali ye min ka dɔgɔ binari jateden duuru la?",1
Fila fila jatedenw bɛ se ka wele cogo wɛrɛ la di?,1
