question,gemini_answer
پيراگراف جي مطابق، اڪارڊيان کي ڪاميابي سان کيڏڻ لاءِ ڇا کي صحيح تجويز نه سمجهيو ويندو؟,1
جيڪڏهن توهان هيٺ ڏنل عنصرن مان ڪنهن کي ڳولي رهيا آهيو ته توهان کي بهتر بڻائڻ ۾ مدد ملندي؟,4
ٽيليويزن تي تصويرن جا ڪنارا ڇو ڪٽجي ويندا آهن؟,2
پيراگراف زجي مطابق، فلم کي DVD فارميٽ ۾ تبديل ڪرڻ وقت ھيٺين مان ڪھڙا مسئلا پيش اچي سگهن ٿا؟,2
برطانوي گاريسن ڪٿي واقع هئي؟,3
هٿ سان لکيل مسودي تي ڪنهن جي دستخط ظاهر ٿي هئي؟,4
ھيٺ ڏنل هنڌن مان، هڪ ڊنلیپ براڊسائيڊ آخري ڪٿي پهتو؟,3
ڪرنل اسٽارڪ جا فوجي لشڪر ڪٿي واقع هئا؟,1
پيراگراف جي مطبق، اسٽارڪ جي ماڻهن پنهنجي لوڙهي کي ڪڏهن وڌايو؟,2
پیراگراف جي مطابق، هيٺين مان چين جو سڀ کان پرتشدد دور ڪھڙو ھو؟,4
پيراگراف جي مطابق، خانگي نوعيت واري مرحلي ۾ داخل فوج جي هڪ ڪالوني جو سچ ڇا آهي؟,2
هن پيراگراف موجب، ڪهڙو بيان خانہ بدوشي واري مرحلي دوران آرمي اينٽ ڪالونين جي آکيرو ٺاهڻ جي عادتن کي صحيح نموني ڏيکاري ٿو؟,3
ٻاهرين اشعارن جي موجودگي جي باوجود ھيٺين مان ڪھڙو جاري رھندو؟,3
ڪهڙو لفظ انهن ماڻهن کي بيان ڪري ٿو جيڪي هڪ خاص فينوٽائپڪ خاصيت جي مختلف قسمن کي ڏيکارين ٿا؟,4
هڪ خاص علائقي تي قبضو ڪندڙ حياتيات لاءِ هيٺين مان ڪهڙو اصطلاح درست آهي؟,2
ھيٺين مان ڪھڙو مثال فطرت تي ٻڌل سياحت جي سرگرمي جو مثال نه ھوندو؟,3
پيراگراف جي مطابق، هيٺين مان ڪهڙو ٽرانسپورٽ سسٽم جو بنياد آهي؟,2
نيوڪليئس جي چوڌاري گردش ڪندڙ ذرڙن ۾ ڪهڙي قسم جي چارج هوندي آهي؟,3
نيوڪليئس ڪهڙن ذرڙن جو ٺهيل آهي؟,1
پيراگراف جي مطابق، هيٺين مان پنج بٽ بائنري نمبر جو مثال ڪهڙو آهي؟,3
بائنري نمبرن کي ٻيو ڇا سڏيو ويندو آهي؟,1
هيٺين مان ڪهڙو شاگردن جي بلاگنگ جي بنيادي فائدي جي طور تي پيراگراف ۾ ڏنل ناهي؟,2
بلاگننگ جي هيٺ ڏنل پهلوئن مان ڪهڙو شاگردن جي تحريري صلاحيتن کي بهتر بڻائڻ لاءِ هڪ محرڪ طور حوالو ڏنو ويو آهي؟,2
ھيٺين مان ڪھڙو شاگردن لاءِ غير مطابقت رکندڙ ڳالهه ٻولهه جو فائدو نه آھي؟ ,2
پيراگراف جي مطابق، نا هم وقت مواصلات جي هيٺين حصن مان ڪھڙو شاگردن لاءِ لچڪدار نه آھي؟,4
