question,gemini_answer
"Jëm ci lu ñu bind, lan la ñu mënuta jàppe ni ap tektal bu leer ngir mëna joolil bu baax akorjon bi?",1
"Boy suwé okarjon bi, yan ci yii toop ñooy lay dimbali ngir nga yokk baat bi?",2
Lu tax nataal yi ci tele bi am seeniy cat yu ñu dagg?,2
"Jëm ci lu ñu bind, ban ci jafe jafe yii la kenn mëna jankonteel buy wëlbëti ap film ci melokaanu DVD?",4
Fan la xarekat angalé yi nekkoon?,3
Kan la màndargaam feeñ ci kayit bu ñu bind?,4
"Ban ci barab ñuy lim, ban la ici Dunlap broadside yi mujjee yegg?",3
Fan la xarekatu Kolonel Stark yi nekkoon?,1
"Jëm ci lu ñu bind, kañ la gooru Stark yi yaatal seen miir?",3
"Jëm ci lu ñu bind, ban ci yii toop moo doon benn ci jàmono yu gëna meti yu Chine?",4
"Jëm ci lu ñu bind, lan moo dëggu ci mbooloop xarekat mel ni melentaan di dugg ci ap waxtu fu ñu amulee dëkkuwaay?",1
"Jëm ci lu ñu bind, ban kàddu mooy wone bu baax nu xarekat yi mel ni ay melentaan tàmmee taag yi ci waxtu bu ñu amulee dëkkuwaay?",3
Ban ci yii toop ñooy wéyi moone téewaayu nataal yi ci biti?,1
Ban baat mooy wone ay nit yuy wone ay nataalu copite ci seen yaram?,1
Ban ci yii toop mooy baat bu baax bi ngir organism mi toog ci ap bërëp mu wuute?,4
Ban ci yii toop moo dul doon ap misaalu bërëpu gàncax bu ñuy jëfëndikoo ngir jëfi turism?,1
"Jëm ci lu ñu bind, ban ci yii toop mooy tërëlinu yoonu dem ak dikk bi?",2
Partikul yu xooxu orbit yan faanu sars la ñu am?,4
Xoox bi yan partikul la am?,1
"Jëm ci lu ñu bind, ban ci yii toop mooy ap misaalu arafu seexal bu juroomi tomb?",1
Lan ci mbir yii lañuy wooye chiffre binaire?,1
Ban ci yii toop la ñu limul ci lu ñu bind ni ap njariñ bu njëkk ngir ndongo yii di am bolog?,1
Ban ci yii faanu bolog la ñu lim ni luy junj ndongo yi ñu yeesal seeniy mënin ci mbind?,1
Ban ci yii toop moo nekkul ap njariñu jookalante asynchrone ngir ndongo yi? ,1
"Jëm ci lu ñu bind, ban ci faanu jokalante asynchrone yii toop moo jagul ak ndongo yi?",4
Lu ñu waxul ci baat bi ni lenn lu kenn mënuta boole ak këru buur ci jàmono xaaju àt ya?,1
Ban ci yii toop moom la ñu waxul ci lu ñu bind ni ap xet walla baat bu ñu mënutawoona wax ci biir këru buur yii daanu?,4
