question,gemini_answer
"Що, згідно з уривком, не можна вважати точною порадою для успішної гри на акордеоні?",1
Що з перерахованого нижче допоможе збільшити об'єм при грі на акордеоні?,1
Чому зображення на телебаченні обрізають по краях?,2
"Згідно з уривком, з якою з наведених нижче проблем можна зіткнутися під час конвертації фільму у ДВД-формат?",1
Де був розташований британський гарнізон?,3
Чий підпис з'явився на рукописній чернетці?,4
"""Куди з наведених нижче місць востаннє прибув документ """"Данлеп бродсайдз""""?""",3
Де були розташовані війська полковника Старка?,1
"Згідно з уривком, коли люди Старка розширили свою огорожу?",3
"Згідно з уривком, яка з наведених нижче епох була однією з найжорстокіших в історії Китаю?",4
"Згідно з уривком, що можна сказати про колонію мурах, яка починає кочовий період?",2
Яке з наведених тверджень найточніше відображає гніздові звички колоній мандрівних мурах під час кочового періоду?,3
"Що з перерахованого нижче буде продовжуватися, незважаючи на наявність зовнішніх сигналів?",3
"Який термін описує особин, що демонструють варіанти певної фенотипічної риси?",4
"Який з наведених нижче термінів є правильним для позначення організмів, що займають певну територію?",2
Що з наведеного нижче не є прикладом природного туризму?,3
"Згідно з уривком, що з наведеного нижче є базою транспортної системи?",2
"Який тип заряду мають частинки, які обертаються навколо ядра?",3
З яких частинок складається ядро?,1
Яке з наведених нижче чисел є прикладом п'ятибітового двійкового числа?,3
Як ще називають двійкові цифри?,1
Що з наведеного нижче не згадується в уривку як основна перевага ведення учнівських блогів?,2
Який з наведених нижче аспектів ведення блогу є мотивацією для студентів покращувати свої навички письменництва?,2
Що з наведеного нижче не є перевагою асинхронного спілкування для студентів? ,2
"Згідно з уривком, який з наступних аспектів асинхронної спілкування не є гнучким для студентів?",4
"Що не згадується в уривку як щось, що може асоціюватися з середньовічними замками?",3
"Що з наведеного нижче не згадується в уривку як запах або звук, який можна було б викликати серед руїн замку?",3
Що з наведеного нижче є точним описом замку Кірбі Максло?,2
"Які з наведених нижче будівельних особливостей можна вважати нетиповими для замку Кірбі Максло в період, описаний в уривку?",2
"Згідно з уривком, що з наведеного нижче буде найбільш корисним для бігуна, який готується до майбутнього сезону?",1
Що з наведеного в уривку є надзвичайно важливим для першокласного бігуна на півмилі?,2
Що з перерахованого нижче не може бути досягнуто спортсменом виключно за допомогою правильного харчування?,3
Що з наведеного нижче не є способом для молодих спортсменів отримати більше задоволення від занять спортом?,1
"Згідно з уривком, чому бігун на середні дистанції може придбати дорожче спорядження?",1
"Згідно з уривком, що потрібно для бігу на середні дистанції?",3
Хто відкрив ядерний магнітний резонанс? ,3
В якому році було отримано перший патент на медичний візуалізаційний резонанс? ,2
"Згідно з уривком, що людина повинна добре розуміти, щоб інтерпретувати фізичні дії інших людей?",2
"Що, згідно з уривком, допомагає робити людині розуміння наміру?",1
Що з наведеного нижче є точним описом основної мети штучного інтелекту?,4
Що з наведеного нижче часто асоціюється зі штучним інтелектом?,3
"Що з наведеного нижче є сильною стороною людини з конвергентним мисленням, згідно з уривком?",4
"Згідно з уривком, що з наведеного нижче не вважається основною рисою конвергентного мислення?",2
"Згідно з уривком, що з наведеного нижче не можна вважати мікровиразом?",4
Яке з наступних тверджень про інтерпретацію мікровиразів не відповідає дійсності?,3
Що з перерахованого нижче стало більш важливим в результаті епохи Ренесансу? ,3
Що з перерахованого нижче стало менш важливим у результаті епохи Ренесансу?,1
Що з наведеного нижче не відображає мотивацію використання Інтернету для підтримання стосунків?,3
Що з наведеного нижче не відображає мотивацію використання Інтернету для особистої участі?,1
Коли Західна Європа перестала покладатися на зовнішні впливи і почала розвивати свій власний стиль?,1
Використання ґудзиків для застібання одягу було результатом чого? ,3
Що з наведеного в уривку вважається прийнятним довгостроковим рішенням екологічних проблем?,3
"Згідно з уривком, яке з наведених нижче рішень не вважатиметься лікуванням симптомів екологічних проблем?",2
"В якій країні відбулася перша війна в Європі, головним приводом для якої, як кажуть, був баланс сил, а не релігійний контекст?",1
"""Яку війну іноді називають останньою """"релігійною війною""""?""",1
Який з наведених нижче аспектів діяльності Католицької Церкви не був под пильною увагою?,2
"Кого, згідно з уривком, було вбито у Версалі?",4
Що з перерахованого нижче не було спровоковано натовпом щодо короля і королеви?,3
Що з перерахованого нижче не було результатом нестандартних морських бойових дій Британії?,3
Яке твердження не зовсім точно описує морську блокаду Британії проти Німеччини?,4
"""Виходячи з уривку, для кого діагноз """"розсіяний склероз"""" був би найбільш вірогідним?""",1
"Згідно з уривком, учасники регулярної фізичної активності потребували додаткової підтримки в чому?",1
"Як, згідно з уривком, зазвичай грають у фехтування?",4
"Згідно з уривком, що з наведеного нижче є найсильнішою ознакою внутрішнього отруєння?",4
"Згідно з уривком, що треба зробити в першу чергу, оцінюючи стан потерпілого?",1
Яке з наступних тверджень не зовсім точно відображає процес огляду потерпілого?,1
"Яка зі змін, спричинених Французькою революцією, мала значний вплив на представників робітничого класу?",2
Після Французької революції успіх у військовій справі та інших професіях став менше залежати від чого?,2
Яка державна послуга викликає найбільше невдоволення в розвинених країнах?,3
Що можна сказати про системи громадського транспорту згідно з уривком?,3
"Згідно з уривком, що з наведеного нижче важко виміряти через непередбачуваність водіїв?",4
Що з наведеного нижче використовується для математичного моделювання транспортного потоку?,4
Що використовували Херші та Чейз для імплантації власної ДНК? ,4
Від чого залежить здатність мутації передаватися нащадкам?,1
"Виходячи з інформації, наведеної в уривку, від чого не залежать різні наслідки мутацій?",invalid
"Що з перерахованого нижче не було причиною того, що стародавні культури тримали кіз?",2
"Чого з переліченого нижче має бути найменше, щоб досягти мети гри в гольф?",2
Де на полі для гольфу трава підстрижена найкоротше?,2
Яка типова мета експерименту?,1
"Що, згідно з уривком, не допомагає спрямовувати наукові дослідження?",1
"Згідно з уривком, яке з тверджень про торнадо не відповідає дійсності?",3
Яке з наведених нижче тверджень найточніше описує більшість торнадо?,4
Що з перерахованого нижче люди почали робити в 16 столітті?,4
Як давно люди збільшують об'єкти за допомогою лінз?,3
"Виходячи з уривку, що печера Магомета говорить про його духовні практики чи цінності?",1
"Згідно з уривком, для чого вперше було використано залізо?",2
"Чому, згідно з уривком, дерев'яні колеса були замінені залізними?",4
"Що, згідно з уривком, формувало особистість у період романтизму?",2
Яке з наступних тверджень не відображає загальну ідею технологічного детермінізму? ,1
"Згідно з уривком, що з наведеного нижче не пов'язане з натягненням смичка?",1
"Що з наведеного нижче асоціюється з більш м'яким звуком, згідно з уривком?",3
"Скам'янілості свідчать про те, що руки з часом пристосувалися до використання в основному для чого?",1
Яке з наступних тверджень точно описує фаланги пальців шимпанзе? ,3
Селекція прибирає нові генетичні варіації з якої сукупності?,4
Який процес відповідає за додавання генетипної мінливості?,3
"""Виходячи з інформації, наведеної в уривку, що з цього має з’їсти примат, щоб вирішити """"протеїнове питання""""?""",3
