question,gemini_answer
"Ko marãnduhai he’iháicha, mbaʼépa noñekonsidéramoʼãi peteĩ konsého oñembopu porã hag̃ua pe acordeón?",1
"Embopu aja acordeón, mávapa koʼãva apytégui neipytyvõta ipu hag̃ua hatãve?",1
Mba'ére umi ta'ãnga ryrýi oĩva ta'ãngambyrype oñeikytĩ ijerepe?,2
"Ko maranduhai rupive, mávapa ha'e mba'e hasyvéva ikatu ojetopa embohasa hag̃ua ta'ãngamýi DVD-pe?",4
Moõ tepa guarnición británica oĩva’ekue?,2
Máva teraguapy osẽ pe manuscrito borrado-pe?,4
"Ko'ã tenda apytégui, moõpa og̃uahẽ ipahaitépe peteĩ andanada Dunlap-pegua?",3
Moõpa oñemohenda raka'e Coronel Stark tropa-kuéra?,1
"Ko maranduhai he’iháicha, araka'épa Stark tropa-kuéra omyasãi ikorakuéra?",3
"Ko maranduhai he’iháicha, mávapa ko’ãva apytégui ha’e peteĩ umi ára iviolento-véva China-pegua?",4
"Ko maranduhai he’iháicha, mba'épa oiko peteĩ tahyi aty ejército rehere oikundaha aja?",2
"Ko maranduhai he’iháicha, mba’e mombe'u ko'ã apytégui ohechauka porã mba’eichaitépa umi tahýi aty ejército ojepokuaa jehupapope oikundaha aja?",3
Mávapa ko'ã apytégui oikota jepénte oĩramo okapegua apañuãi?,1
Mba'e término-pa omombe'u umi individuo-kuéra ohechaukávo oguerekoha rasgo fenotípico?,4
Mávapa ko'ã apyra apytépe oje'éva hína umi organismo oikóva peteĩ tenda imba'eteévape?,2
Mávapa ko'ã mba'e apytépe ndaha'éiva'erã peteĩ techapyrã turismo oñemopyendáva tekoha rehegua?,1
"Ko maranduhai he’iháicha, mávapa ko'ã apytépe oñemopyenda pe sistema mba'yrumýi rehegua?",1
"Umi partícula ojeréva núcleo rehe, mba'éichagua carga oguereko?",3
Mba'e partícula oreko umi núcleo-kuéra?,1
"Ko maranduhai he’iháicha, mávapa ikatu ha'e papapy binario orekóva po bit?",3
Papapy binario mba'éicha avei ojeikuaa?,1
"Ko'ã apytépe, máva ndojemombe'úgui ko maranduhaipe beneficio primario ramo umi oñemotemimbo'évape blogs-pe?",2
Máva ko'ã apytépe blog rehegua ha'e temimbo'ekuérape omongyre'ỹva omomorãve hag̃ua ijehaipy?,2
Mávapa ko'ã apytégui ndaha'éi beneficio comunicación asíncrona temimbo'ekuérape? ,2
