question,gemini_answer
Cui i-au dat protestatarii petiția lor?,3
"Conform relatării lui Armand Versace, ce s-a produs imediat înainte ca mulțimea să reacționeze la vreme?",1
"Conform lui Versace, când a început să bată cel mai puternic vântul?",4
"Înainte de Fred, câte furtuni majore au fost înregistrate la est de 35°V?",3
Către ce direcție se deplasa Fred când se afla în apropierea insulelor Capului Verde?,4
Care din următoarele standarde are o viteză mai mare decât predecesorii săi?,1
Ce este necesar pentru ca 802.11n să fie compatibil retroactiv cu 802.11b?,4
La câte probe trebuia să înoate medaliatul cu aur la Olimpiadă urma la Jocurile Commonwealth-ului?,1
De ce nu lua medaliatul cu aur la Olimpiadă medicamente pentru durere?,4
"Conform fragmentului, ce ar fi condus la confuzie privind activitatea seismică?",1
"Conform fragmentului, când a intervenit o schimbare de fază?",3
Care dintre următoarele afirmații despre sonda lunară Chandrayaan-1 nu este adevărată?,1
Care dintre următoarele afirmații descrie cu exactitate sonda lunară?,2
"Pe baza fragmentului, care va fi ultima măsură de protecție împotriva bolii?",3
Cum se transmite boala la oameni?,1
La ce rezultat ar putea conduce a doua refuzare a propoziției?,2
Conform fragmentului când a fost ștearsă a doua propoziție?,1
În ale cui mâini au ajuns documentele „Panama Papers”?,2
"Conform fragmentului, cine pretindea presa din Marea Britanie că ar gestiona multe din companiile utilizate pentru a ascunde averi?",3
Care dintre următoarele accidente aviatice a avut cele mai multe decese?,1
Care dintre următoarele nu este un motiv al multitudinii de accidente aviatice care se produc în Iran?,2
Care din următoarele aspecte nu a fost inclus în raportul elaborat de Grupul de studiu Irak?,2
Care din următoarele acțiuni nu a fost solicitată de Grupul de studiu Irak în raportul său?,1
"Conform poliției, cine a fost considerat a fi mâna dreaptă a lui Provenzano?",2
"Pe baza informațiilor din fragment, care a fost cauza morții lui Falcone?",1
Care din următoarele nu este un premiu obținut de Hitoshi Saito?,1
Unde a reușit Iwasaki să evite depunerea de jurăminte?,2
Cine l-a atacat pe Iwasaki?,2
Când și-a încheiat Alonso cursa?,3
Ce a cauzat încheierea cursei anticipat de către Schumacher?,4
Conform fragmentului cine stabilea cauțiunea arestaților?,4
"Conform ordinului de restricție temporar menționat în fragment, ce trebuia să li se permită arestaților pentru a putea fi reținuți mai mult de 24 de ore?",4
"Conform acestui fragment, ce motiv nu a fost utilizat pentru a explica anularea scrutinului?",2
De ce diplomații au considerat scrutinul inutil în cele din urmă?,3
Cine oferă servicii judiciare pentru FATA?,2
Care dintre următoarele afirmații despre „agenții politici” FATA nu este adevărată?,2
Pentru ce premiu a fost nominalizată Emma Stone?,3
Pentru ce premiu nu a fost nominalizat filmul?,2
Care dintre următoarele au rămas în funcțiune după cutremur?,4
"Conform fragmentului, care dintre următoarele a suferit daune din cauza cutremurului?",3
"Conform fragmentului, care dintre următoarele aspecte nu este inclus în document?",2
Care dintre următoarele nu este o cerere a Palestinei?,2
În ce țară a studiat Ma dreptul?,1
"Conform fragmentului, promovarea cărei țări a ajutat la obținerea victoriei lui Ma în alegeri?",4
"După cum se declară în fragment, pentru cine a lucrat Carolyn Wilson înainte de a părăsi orașul?",3
"Cu patru curse rămase din sezon, cine este pe locul al patrulea în Campionatul Piloților?",4
"După cursa menționată în fragment, câte puncte are Kahne în Campionatul Piloților?",1
"Conform fragmentului, de câte ori au asistat oamenii la meteoriți în cădere care s-au dovedit ulterior a fi de origine marțiană?",2
"După cum s-a menționat în fragment, ce este adevărat despre rocile despre care s-a constatat că sunt de origine marțiană?",4
Când s-a retras Schumacher?,2
Când a fost rănit Massa?,1
"Conform fragmentului, cum va fi afectată compania AOL de acord?",3
Care din următoarele s-ar putea încheia ca urmare a noului acord?,3
Câți oameni uciși în urma atentatului nu erau ofițeri de poliție?,3
Cine a raportat presupusul suspect pentru atentat?,1
"Ca urmare a statutului Floridei de stat în care câștigătorul ia totul, ce i s-a repartizat lui Mitt Romney?",3
"Conform fragmentului, ce procent din voturi avea Gingrich în alegerile primare?",2
Conform fragmentului cine nu a continuat să candideze după rezultatele întâlnirii?,2
"Conform fragmentului, cine a lăudat un alt candidat ca urmare a rezultatelor întâlnirii?",2
Unde a fost singurul loc care a prezentat spectacolul înainte de 2015?,1
Stația descrie spectacolul ca având ce fel de interpretare?,2
Ce a strâns David Headley care a ajutat în cele din urmă atacul grupului militant?,1
Ce mod de transport a utilizat grupul militant pentru a călători la Mumbai?,3
Ce afirmație reflectă cu exactitate rezultatului meciului de la Brisbane Open dintre Nadal și Raonic menționat în fragment?,1
"Conform fragmentului, care era situația meciului lui Nadal și Raonic după primul serviciu?",2
Ce limbă a programelor nu este inclusă în cele trei noi canale de emisie Naked News?,3
"Conform fragmentului, unde nu vor fi disponibile noile canale de emisie?",3
Câți concurenți nu au terminat slalomul uriaș?,4
Care din următoarele afirmații reflectă cu exactitate rezultatele curselor de la Campionat?,1
Ce a decis NBA să suspende?,1
"Conform fragmentului, ce a condus la îngrijorările NBA cu privire la virus?",4
Cine a marcat golul câștigător pentru Washington Capitals în jocul împotriva Atlanta Thrashers?,1
Cine a marcat al 60-lea gol al sezonului în timpul meciului Washington Capitals versus Atlanta Thrashers?,1
Când a avut nevoie banca Northern Rock de sprijinul guvernului?,4
"Conform fragmentului, care dintre următoarele afirmații descrie cu exactitate tranzacțiile Virgin Group cu banca Northern Rock?",2
"După cum se declară în fragment, ce națiune este afectată de semnarea acordului climatic de la Kyoto?",1
Fostul guvern al Australiei a crezut că ratificarea acordului de la Kyoto ar afecta ce anume?,2
Pentru ce program au fost recrutați vânătorii din test?,4
Ce afirmație nu reflectă cu exactitate testul de combatere a dăunătorilor?,1
"Conform fragmentului, unde a fost găsită diviziunea?",2
"Conform fragmentului, ce s-a produs mai devreme decât era așteptat?",2
Ce va trebui să facă un jucător pentru a se asigura că poate controla mișcările într-un joc video?,3
Ce a fost proiectat să arate ca o telecomandă pentru televizor?,2
Ce nu a fost declarat în cel mai recent raport de la agenția de știri Xinhua?,2
Ce nu a fost declarat în raportul preliminar de la agenția de știri Xinhua?,4
Ce a anunțat Sara Danius în timpul emisiunii radio?,4
Cine nu a putut fi contactat?,4
Cine a comentat că angajamentul este „un pas major”?,3
Câte ștampile a produs Słania pentru diverse țări?,4
"Conform fragmentului, ce ar putea cauza continuarea scurgerii din gurile de aerisire ale rezervorului?",3
De ce s-au deschis supapele de siguranță?,2
Cât de ridicat este nivelul apei în prezent la Ninth Ward?,3
Ce s-a produs la Ninth Ward în timpul uraganului Katrina?,3
Care dintre următoarele nu a fost confirmat de Hamilton?,2
Ce vor să înțeleagă oamenii de știință?,4
"Conform fragmentului, ce rol a jucat poliția locală în oprirea traficului?",3
Ce s-a întâmplat cu întrările la metrou în timpul opririi traficului?,1
"Conform fragmentului, ce nu s-a întâmplat înainte ca fotograful să fie lovit de vehicul?",4
Ce încerca fotograful să facă înainte de a fi lovit de un vehicul?,2
Ce afirmație nu descrie cu exactitate starea președintelui după ce a testat pozitiv la virus?,1
"Conform fragmentului, care dintre următoarele afirmații despre președinte este adevărată?",3
"Conform fragmentului, când se așteaptă ca ciclonul tropical Gonu să continue să își piardă din intensitate?",2
Ce viteză avea vântul la momentul culminant al ciclonului tropical Gonu?,3
Care dintre următoarele nu este considerată o trăsătură a Karenia brevis?,3
Ce nu poate face Karena brevis?,2
"Conform fragmentului, ce nu s-a produs ca rezultat al uraganului Felicia?",4
Ce afirmație despre uraganul Felicia este falsă?,2
Ce afirmație reflectă cu exactitate rezultatul Marelui Premiu al Ungariei din 2009?,3
Când s-a produs accidentul?,1
"Conform fragmentului, ce a durat mai puțin decât se așteptau cercetătorii inițial?",4
Care dintre următoarele nu s-a raportat de către cercetători?,3
Unde va avea loc CowParade?,2
Care dintre următoarele afirmații descrie CowParade cu exactitate?,4
