question,gemini_answer
"Үзүндүгө таянсак, кээ бир адамдар төмөндөгүлөрдүн кайсынысына ишенишет?",3
Күндүн борборунан алыстаган сайын эмне суюла баштайт?,3
Үзүндү боюнча Күндүн кайсы бөлүгү Жерден көрүнүп турат?,3
Төмөндөгү байкоолордун кайсынысы Коперниктин теориясын ырастоого жардам берген?,1
Төмөнкүлөрдүн кайсынысын 1610-жылы Галилео Галилей байкаган?,2
Үзүндү боюнча Амазонка дарыясына суу кайдан кирет?,1
Кайсы мүнөздөмө Амазонка дарыясына таандык эмес?,3
Үзүндүдө айтылган жумуштун кайсы тармагында эң аз венесуэлалыктар иштейт?,3
Үзүндүгө ылайык төмөндөгү секторлордун кайсынысында венесуэлалыктардын эң көп саны иштейт?,1
Үзүндүгө ылайык эрүү жылдыздарга эмне мүмкүндүк берет?,3
Пайдалуу термоядролуу реактор төмөндөгүлөрдүн кайсынысын түзө алат?,4
Суунун химиялык курамы кандай?,4
Суу формасы өзгөргөндө эмне ошол бойдон калат?,1
"Үзүндүгө ылайык кээ бир мыйзамдарды таңуулоого аракет кылганда, төмөндөгүлөрдүн кайсынысы он үч мамлекет үчүн маселе болгон эмес?",1
Үзүндүгө ылайык кайсы билдирүү Көз карандылык согуш мезгилиндеги борбордук бийликтин абалын так чагылдырат?,3
Көз карандысыздык декларациясынын артындагы сөздөр кандайча жазылган?,1
Сингапур төмөндөгүлөрдүн кайсынысы менен белгилүү?,1
Ванда Мисс Джоаким деген эмне?,2
Үзүндүгө ылайык Гиза пирамидаларынын кайсы сапатына Жаңы Падышалыкта жашаган египеттиктердин таң калуусу мүмкүн эмес эле?,2
Үзүндүгө ылайык чөп жегичтер жамгырды кууп кайда сапар тартышат?,3
Үзүндү боюнча чөп жегичтер апрель айынын тегерегинде кайсы аймактан кетишет?,2
“Силион операциясы” кайсы өлкөнүн басып алуусу болгон?,2
Германия Британияга кол салуусун эмне деп атаган?,2
Африка өлкөлөрүн басып алуу үчүн Италиянын планында зарыл кадамдардын катарында эмне айтылган эмес?,2
Үзүндүгө ылайык Италиянын согушта болгон негизги максаты эмне деп эсептелген?,1
Баскынчылар менен кимдер достук мамиле түзгөн?,2
Драгун ишине союздаштар болуп кимдер катышкан?,1
Кайсы технологиянын өнүгүшү суу астындагы кемелердин саякатка чыгышына себеп болду?,4
Биринчи жолу колдонулганда суу астындагы кемелер кайсы жаатта өтө чектелген мүмкүнчүлүккө ээ болгон?,3
Үзүндү боюнча келишимди ким бузган? ,4
Төмөнкүлөрдүн кайсынысы Кызыл Армия тарабынан аткарылган эмес?,3
Италиянын 10-армиясынын башкы инженерине эмне болгон?,3
Итало Бальбо кайда өлтүрүлгөн?,4
Үзүндүгө ылайык төмөндөгү ыкмалардын кайсынысы тибет медитациясынын маанилүү бөлүгү болуп саналат?,3
Үзүндүгө ылайык Тибет медитациясынын “борборунда” чакралар кантип жанданат?,2
Программанын жүрүшүндө экинчи диний ырын ким тартуулады?,4
"Үзүндү боюнча, аш тартуу учурунда ким диний ырын тартуулаган?",1
Кеченин кайсы аткаруусу акыркынын алдындагысы болгон?,1
Алессандро Сафина кайсы улуттан?,4
Үзүндүгө таянсак төмөндөгү билдирүүлөрдүн кайсынысы туура эмес?,1
"Үзүндү боюнча, ыңгайсыз ысык температура боюнча ким пикир калтырган?",2
Цунамиден улам электр энергиясы кайсы жерде өчүрүлдү?,1
Үзүндүгө ылайык электр жарыгынын өчүрүлүшү Тонгага кандай таасир эткен?,4
Полиция Жонни Риддин ылдамдыгын аныктоо үчүн радар куралын качан колдоно алган?,1
Үзүндүгө ылайык Жаңы Зеландиянын полициясына Жонни Риддин ылдамдыгын аныктоого эмне үчүн кыйын болгон?,1
Буттенге карата жер титирөөнүн очогу кайда болгон?,2
Абу-Грейбдеги башаламандыкта эмне болгон?,1
Эмне үчүн Ирак түрмөсү жаманатты болуп калган? ,4
Мауинин Согуш мемориалдык стадионунда кандай иш-чара өткөрүлүшү керек эле?,3
