question,gemini_answer
" Үзіндіге сәйкес, аккордеонда сәтті  ойнау үшін нақты қай кеңес  қарастырылмас еді?",1
"Аккорддеонда ойнап жатқанда, келесілердің қайсысы дыбыс деңгейін күшейтуге көмектеседі?",1
Неге теледидардағы кескіндердің бүйірлеріндегі жиектері кесілген болады?,2
"Үзінді бойынша, фильмді DVD пішініне түрлендіргенде келесі мәселелердің қайсысымен кездесуі мүмкін?",2
Британдық гарнизон қайда орналасқан еді?,3
Қолмен жазылған жобада кімнің қолы қойылған?,4
"Келесі берілген орындардың ішінен, Dunlap broadside қайда соңғы болып жетті?",3
Колонель Старктың әскерлері қайда орналасты?,1
"Үзінді бойынша, Старктың адамдары қашан қоршауды жасады?",3
"Үзінді бойынша, келесіде берілген дәуірлердің қайсысы Қытайдың ең қатал дәуірі болды?",4
"Үзінді бойынша, құмырсқа колонияларының әскері номадтық фазаны бастағанда не жасайды?",2
"Үзіндіге сәйкес, құмырсқа колониялар әскерінің номадтық фаза кезіндегі ұяға қатысты әдеттеріне қайсы тұжырымдама дұрыс келеді?",3
Келесілердің қайсысы сыртқы көздер болмаса да жалғаса береді?,3
Қайсы термин белгілі фенотиптік ерекшелігінің ауытқуларын көрсететін тұлғаларды сипаттайды?,4
Келесі терминдардың қайсысы нақты аймақта орналасатын организдерді сипаттайды?,2
Келесілердің қайсысы табиғатқа негізделген белсенділіктің негізі болып табылмайды?,3
"Үзінді бойынша, келесілердің қайсысы көлік жүйесінің негізі болып табылады?",2
Ядроны орбитамен айналып жүретін бөлшектердің заряды қандай?,3
Ядро қандай бөлшектерден құралған?,1
"Үзіндіге сәйкес, келесілердің қайсысы бес екілік сандардың мысалы болып табылады?",3
Екілік цифрлар тағы да қалай аталады?,1
Келесілердің қайсысы оқушылардың блог жазудағы алғашқы пайдасы ретінде үзіндіде берілмеген?,4
Келесі блог жазудың аспектілерінің қайсысы оқушылардың жазу қабілеттерін жақсартудың мотивациясы ретінде келтірілген?,2
Келесілердің қайсысы асинхронды коммуникацияның студенттерге пайдасы болып табылмайды? ,2
"Үзіндіге сәйкес, келесі берілген асинхронды коммуникацияның аспектілерінің қайсысы студенттерге ыңғайлы емес?",invalid
Біреу орта ғасырлық сарайлармен ассоцация жасай алатын нәрсе ретінде үзіндіде берілмеген не нәрсе?,4
Қираған сарайдың үйінділерінде болатындай иіс немесе дыбыс ретінде үзіндіде берілмеген келесілердің қайсысы?,3
Келесілердің қайсысы Кирби Муксло сарайының дұрыс сипаттамасы болады?,2
Үзіндіде сипатталғандай Кирби Муксло сарайының сол кезеңде қарапайым емес болып табылатын құрылыс белгілеріне қайсысы жатады?,1
"Үзіндіге сәйкес, келесілердің қайсысы жүгірушіге алдағы маусымға дайындықта ең пайдалы болатын келесілердің қайсысы?",4
"Үзіндіге сәйкес, келесілердің қайсысы бірінші сыныпты жарты миляға жүгіруші үшін өте маңызды?",2
"Спортшыға, келесілердің қайсысына тек дұрыс тамақтану арқылы жетуге болмайды?",3
"Үзіндіге сәйкес, келесілердің қайсысы жас спортшыларға спорттан ләззат алудың жолы ретінде ұсынылмаған?",2
"Үзіндіге сәйкес, неге орташа қашықтыққа жүгіруші қымбатырақ жабдық сатып алуы мүмкін?",1
"Үзіндіге сүйенсек, орташа қашықтыққа жүгірушіге не нәрсе қажет етеді?",3
Ядролық магниттік резонансті кім ашқан? ,3
Қай жылы медициналық резонансқа бірінші рет патент берілді? ,2
"Үзіндіге сүйенсек, басқалардың физикалық әрекеттерін түсіну үшін адамдар не нәрсені мықты игеру керек?",2
"Үзіндіге сүйенсек, ниеттерді түсіну адамдарға не істеуге көмектеседі?",1
"Үзіндіге сәйкес, келесілердің қайсысы AI-дің негізгі мақсатының дұрыс қысқаша мәлімдемесі?",4
"Үзіндіге сәйкес, келесілердің қайсысымен AI-ді ұштастырады?",1
"Үзіндіге сәйкес, келесілердің қайсысы конвергенциялық ойлау үлгілерін игерген адамның күшті жағы?",4
