question,gemini_answer
"Според параграфот, што не би се сметало за точен совет за успешно свирење хармоника?",1
"Кога свирите хармоника, кое од следните ќе помогне да се зголеми волуменот?",1
Зошто сликите на телевизија се со пресечени рабови?,2
"Според параграфот, кој од следните проблеми би можел некој да ги има кога конвертира филм во DVD-формат?",2
Каде беше лоциран британскиот гаризон?,3
Кој потпис се појавил на нацртот во ракопис?,4
"Од следните локации, каде последно пристигнале Данлаповите документи?",3
Каде полковникот Старк ги стационирал своите трупи?,1
"Според параграфот, кога луѓето на Старк ја прошириле својата ограда?",3
"Според параграфот, кое од следните било една од најнасилните ери на Кина?",4
"Според параграфот, што е вистинито за колонијата на армиски мравки што влегуваат во номадска фаза?",2
"Според параграфот, која изјава точно ги рефлектира навиките на правење легла на колониите на армиски мравки за време на номадската фаза?",3
Кое од следните ќе продолжи и покрај присуството на надворешни сигнали?,3
Кој термин ги опишува индивидуите што изразуваат варијанти на одредена фенотипична карактеристика?,4
Кое од следните е точен термин за организмите што зафаќаат одредена област?,2
Кое од следните не би било пример на туристичка активност базирана на природа?,3
"Според параграфот, кое од следните е основа на транспортен систем?",2
Каков тип на електрицитет имаат честиците што орбитираат околу јадрото?,3
Од кои честици е составено јадрото?,invalid
"Според параграфот, кое од следните е пример на пет битен бинарен број?",3
На што друго се однесуваат бинарните цифри?,1
Кое од следните не е споменато во параграфот како примарен бенефит од студентското блогирање?,2
Кој од следните аспекти на блогирање е наведено како мотиватор за студентот да ги подобри своите вештини за пишување?,2
Кое од следните не е бенефит на асинхроната комуникација за студентите? ,2
"Според параграфот, кој од следните аспекти на асинхроната комуникација не е флексибилен за студентите?",3
Што не е споменато во параграфот како нешто што би можело да се поврзе со средновековните замоци?,4
Кое од следните не е споменато во параграфот како мирис или звук што би можел да се створи меѓу рушевините на замокот?,3
Кое од следните е точен опис на Замокот Кирби Муксло?,2
Отпадот од која локација придонел за ширење на болеста?,2
Што планира Ирската влада да направи?,2
Што било привремено легално во Ирска?,4
За што е истражуван осомничениот прекршител?,1
"Кога го менувал знакот, што не направил осомничениот?",3
"Според параграфот, за кое од следните не бил обвинет англискиот воспитувач Карно?",2
"Според параграфот, кој не бил земен во заложништво на Роландо Мендоза?",2
"Врз основа на параграфот, кои заложници не биле потврдени дека се ослободени рано?",1
"Според параграфот, кој собирал потписи за поддршка на легализирање бракови од ист пол во Бразил?",invalid
На кого ќе ја дадат протестантите својата петиција?,3
"Според сеќавањето на Арманд Версаче, што се случило директно пред гужвата да започне да реагира на времето?",1
"Според Версаче, кога започнале најсилните ветрови?",1
"Пред Фред, колку големи бури биле забележани источно од 35°W?",3
"Кога Фред се наоѓал близу до островите Кап Верд, кон кој правец се движел?",1
Кое од следните има поголема брзина од неговите претходници?,1
Што е неопходно за 802.11n да биде назад компатибилно со 802.11b?,4
На колку настани олимпискиот добитник на злато требало да плива во Комонвелтските игри?,invalid
Зошто олимпискиот добитник на златен медал не користел лекови за својата болка?,4
"Според параграфот, што можело да води до конфузија по активноста на земјотресот?",1
"Според параграфот, кога се случила промена на фазата?",3
Која од следните изјави за месечевата сонда на Чандрајан 1 не е точна?,1
Која од следните изјави точно ја опишува лунарната сонда?,2
"Врз основа на параграфот, која мерка на заштита против болеста ќе биде применета последна?",3
Како се пренесува болеста на луѓето?,1
До каков исход ќе води падот на втората реченица?,2
"Според параграфот, кога била избришана втората реченица?",1
На кого биле обелоденети „Документите од Панама“?,2
"Според параграфот, за кого изјавил Британскиот печат дека ги менаџира повеќето компании користени да се скрие богатството?",3
Која од следните авионски несреќи имала најмногу жртви?,3
Која од следните не е причина за многубројните авионски несреќи што се случуваат во Иран?,2
Кое од следните не било вклучено во извештајот од Ирачката истражувачка група?,2
Кое од следните не било побарано од Ирачката истражувачка група во нивниот извештај?,1
"Според полицијата, кој човек се сметал за десна рака на Провензано?",2
"Врз основа на информациите дадени во параграфот, што било причина за смртта на Фалконе?",invalid
Кое од следните не е едно од признанијата на Хитоши Саито?,1
Каде Ивасаки успеал да избегне да земе завет?,2
Кој го нападнал Ивасаки?,2
Кога Алонсо ја завршил својата трка?,invalid
Што предизвикало Шумахер да ја заврши својата трка рано?,4
"Според параграфот, чија работа е да постави кауција за уапсените?",4
"Според наредбата за привремено затворање спомената во параграфот, што мора да им биде дозволено на притворениците да имаат за да бидат држени подолго од 24 часа?",4
"Според параграфот, која причина не беше користена за да се објасни откажаниот втор круг на избори?",2
