question,gemini_answer
أي جائزة ترشحت إلها أيما ستون؟,3
لأي جائزة ما تم ترشيح الفلم؟,1
أي من التالي استمر بالعمل بعد الزلزال؟,4
بحسب الفقرة، أي من التالي تضرر بشكل مستمر بسبب الزلزال؟,4
بحسب الفقرة أي من المشاكل التالية ما احتوتها المذكرة؟,2
أي من التالي مو من مطالب فلسطين؟,2
بأي بلد درس «ما» القانون؟,1
بحسب الفقرة، تأييد أي بلد ساعد بانتصار «ما» بالانتخابات؟,4
حسب ما ذُكر بالفقرة، لصالح من عملت كارولين ويلسون قبل أن تغادر بلدتها؟,invalid
مع استمرار أربعة سباقات في الموسم، منو يحتل الرابعة لبطولة السائقين؟,4
بالاعتماد على السباق المذكور بالفقرة، كم عدد النقاط اللي حصل عليها كين بسباق السائقين؟,1
بحسب الفقرة، شقد عدد المرات التي شهد بيها الناس نيازك تبين لاحقاً أنه مصدرها من المريخ؟,2
مثل ما مذكور بالفقرة، شنهي ماهية الصخور اللي تم اكتشاف أنها بالأصل من المريخ؟,4
متى تقاعد شوماخر؟,2
يمته انصاب ماسا؟,1
بحسب الفقرة، شلون ديأثر التنظيم على شركة «إيه أو إل»؟,3
شني من التالي قد ينتهي باتباع الترتيب الجديد؟,3
شكد عدد القتلى بسبب الهجوم من غير ضباط الشرطة؟,3
منو اللي أبلغ عن المتهم بالهجوم؟,1
تبعاً لمكانة فلوريدا باعتبارها الولاية الفايزة و تحصل على كل شي، شني الشي اللي تم منحه لميت رومني؟,3
بحسب الفقرة، شكد نسبة الأصوات اللي حصل عليها جينجريتش بالانتخابات الرئيسية؟,2
بحسب الفقرة، منو اللي ما استمر بالترشح بعد نتائج المؤتمر الحزبي؟,2
بحسب الفقرة، منو اللي أشاد بمرشح ثاني بعد نتيجة التجمع الحزبي؟,2
وين كان المكان الوحيد الذي عُرض بيه العرض قبل عام 2015؟,1
وصفت المحطة البرنامج على أنه يحمل أي نوع من المحاور؟,2
شنو جمع ديفد هيدلي وساعد بشكل كبير هجوم المجموعة المسلحة؟,1
أي نوع من وسائل النقل استخدمت المجموعة المسلحة حتى يسافروا لمومباي؟,3
شنهو البيان اللي يعكس بدقة نتيجة مباراة نادال وراونيتش في بريزبين المفتوحة المذكورة في الفقرة؟,1
بحسب الفقرة، شنو جان موقف مباراة نادال وراونيتش بعد الارسال الاول؟,2
أي برنامج لغة ما مشمول بالبرامج الثلاثة الجديدة لبثوث نيكد نيوز؟,3
بحسب الفقرة، وين ما راح تتوفر بثوث نيكد نيوز الجديدة؟,1
كم عدد المنافسين اللي ما انهوا السباق المتعرج العملاق للتزلج؟,4
شنو من هاي التصريحات ما تعكس نتائج السباقات بالبطولات بشكل دقيق؟,1
أي وحدة من هاي الخيارات قرر اتحاد الولايات المتحدة الوطني لكرة السلة (إن بي إيه) انه يعلقه؟,1
بحسب الفقرة، شنو اللي سبب مخاوف بالدوري الأميركي للمحترفين بخصوص الفيروس؟,4
منو سجل هدف الفوز لفريق العاصمة واشنطن بلعبتهم ضد فريق اطلانطا تراشرز؟,1
منو سجل هدفه ال60 بالموسم خلال مباراة فريق الكابتلز ضد فريق التراشرز؟,3
يمته احتاج مصرف روك الشمالي دعم من الحكومة؟,4
بحسب الفقرة، أي من التصريحات التالية تشرح بالضبط اتفاقات مجموعة فيرجين ويه مصرف روك الشمالي؟,2
حسب ما ذُكر بالفقرة، أي دولة تأثرت بتوقيع اتفاقية كيوتو للمناخ؟,1
على شنو اعتقدت الحكومة السابقة لأستراليا أن المصادقة على اتفاقية كيوتو راح تسبب ضرر؟,2
شنو البرنامج اللي جندوا الرماة علموده؟,4
أي عبارة من هاي العبارات ما يعكس تجربة مكافحة الآفات بدقة؟,1
بحسب الفقرة، أين وُجد الانشقاق؟,1
بحسب الفقرة، شنو اللي صار أسرع من المتوقع؟,2
شنو يحتاج اللاعب يسوي حتى يتلاعب بالحركات خلال لعبة الفيديو؟,4
شنو اللي تم تصميمه على مود يكون جهاز تحكم التلفزيون,4
شنو ما انذكر بالتقرير الأخير من وكالة الأنباء شينوا؟,2
شنو ما انذكر باخر تقرير من وكالة أنباء شينوا؟,1
شنو اللي أعلنته سارة دانيوس خلال برنامج الراديو؟,4
منو اللي ما ينوصل إله؟,4
منو علق على التعهد وكال انه خطوة مهمة؟,3
كم طابع انتج سلانيا لبلدان مختلفة؟,4
بحسب الفقرة، شنو السبب المرجح للتسريب اللي صار بأنابيب الخزان؟,3
ليش انفتحت صمامات التصريف؟,2
حاليا، شكد ارتفاع الماي بالجناح التاسع؟,1
شنو صار للجناح التاسع بأثناء إعصار كاترينا؟,3
أي من التالي ما تم تأكيده من قبل هاميلتون؟,4
شنو الشي الي حاولوا يكتشفونه العلماء؟,4
بحسب الفقرة، شنو الدور الي لعبته الشرطة المحلية بالإغلاق؟,3
شنو صار بمداخل الأنابيب اثناء الإغلاق؟,1
بحسب الفقرة، شنو الي ما صار قبل لا تدعم السيارة المصور؟,4
شنو كان ناوي يسوي المصور قبل لا تدعمه السيارة؟,2
أي من هالتصاريح ما يوصف بالضبط حالة الرئيس بعد ما طلع بيه كورونا؟,1
بحسب الفقرة، أي وحدة من هاي التصاريح عن الرئيس صحيحة؟,3
بحسب الفقرة، يمته من المتوقع انو يخف الإعصار جونو المداري؟,3
شكد كانت سرعة الرياح بذروتها بإعصار جونو المداري؟,3
أي من الموجود ما يعتبر من ميزات كارينيا بريفيس؟,3
أي من التالي ما يكدر كارينيا بريفيس يسوي؟,2
بحسب الفقرة، أي من التالي ما صار نتيجة إعصار فيليشيا؟,2
أي من هالتصريحات عن إعصار فيليشيا يعتبرغلط؟,1
أي من هالتصاريح تشرح بالضبط نتيجة جائزة هنغاريا الكبرى سنة 2009؟,3
يمته صار الاصطدام,1
بحسب الفقرة، شنو من التالي أخذ وقت اقل من الوقت الي كانوا متوقعينه الباحثين؟,4
أي من التالي ما رفعوا بيه تقرير الباحثين؟,1
وين راح يصير CowParade؟,2
أي من التصاريح التالية توصف CowParade بشكل دقيق؟,4
شنو اللي خله روسيا توقف استخدام II-76؟,2
شنو هي II-76؟,3
منو عين فريق الكتابة ذا سيمبسونز؟,2
يحسب لفلوك، منو اللي جان يرسلها تعليقات إيجابية ويشجعها؟,4
بحسب الفقرة، شنو ما رادوا الناس انو يحجون عنه النساء بشكل علني؟,3
بحسب الفقرة، أي جزء كوكبي اكثر حركة؟,1
الأنهار والبحيرات المتكونة من السوائل الشفافة الي ما مبينه تابعة لأي جسم كوكبي؟,2
أي من هاي الاستنتاجات مو نتيجة لاكتشاف الريش؟,4
شنو اللي مو عند ريش الديناصورات؟,1
أي من هالتصاريح عن Zmapp مو صحيح؟,2
أي من التصاريح التالي يشرح بالضبط تجربة PALM؟,2
وين اعتقدوا الباحثين انه الرقاقة راح يكون إلها تأثير أكبر؟,1
أي طريقة مستخدمة لاختراع الأداة التشخيصية؟,2
بحسب الفقرة، شنو من هاي التصاريح عن الصدوع المفصصة غير صحيحة؟,4
بحسب الفقرة، أي نظرية تخص التضاريس تبين انو اكو نشاط جيولوجي يصير على القمر؟,4
بحسب الفقرة، شنو الي ما راح يكون اكو منه بعد لحد ما تخلص قضية توجيه الاتهام؟,1
بحسب الفقرة، شنو هي الي ما تشكل مشكلة حاليا لصيادي الفقمات؟,1
بالإضافة للثلج، شنو اكو بعد يأثر على جهود الإنقاذ؟,2
شنو الاعتقاد اللي رفض روبرتس يصرح عنه؟,3
أي موضوع حس روبروتس انه كان من غير الأخلاقي يحجي عنه؟,4
وين جانن شعاعين الضوء مسلطات؟,1
بحسب الفقرة، يمته راح تنبني ناطحات سحاب جديدة بالموقع؟,4
شنو المعلومة اللي تقترح انو الأخوات السبعة يعتبرن كهوف؟,1
شلون يتم رصد السلوك الحراري للأخوات السبعة؟,1
بحسب الفقرة، شنو من هاي التصاريح مو صحيحة عن المتهم؟,4
شنو المعلومات الي أكدتها السلطات عن الهجوم؟,2
أي فرق راح تلعب بالمباراة بأليس بارك؟,3
وين راح يلعبون السبرينغبوكس مباراتهم الجايه؟,3
أي من التالي واجهت محطة الفضاء مشاكل وياه خلال المهمة؟,2
بحسب الفقرة، شنو جان الهدف من مهمة محطة الفضاء؟,3
أي من التصاريح التالية عن الدعوى مو صحيحة؟,2
أي من التصاريح التالية ما توصف الدعوى بشكل دقيق؟,1
بحسب الفقرة، أي نادي بدا يلعب له فيدال قبل ثلاثة مواسم؟,1
كم لعبة لعبها فيدال لبرشلونة؟,1
منو جان الفريق المنافس بالمباراة؟,2
ليش بقى جارك بالفندق؟,3
ليش ما انطت وكالة جاكارتا للجيوفيزياء تحذير؟,4
بحسب الفقرة، شنو اللي أتسبب فيه الزلزال؟,1
أي من التالي حفز نشاط الشمس والنجوم البقية؟,3
شلون يتم تحديد رقم الروسبي لنجم معين؟,1
شكد نسبة الناس اللي شملهم استطلاع استراليا حتى تصير جمهورية حالا؟,2
على حسب اللي كالته جولي غيلارد، يمته المفروض تصير استراليا جمهورية؟,2
أي مؤسسة تخضع لتحقيق قانوني؟,3
كليف ستيرنز رئيس أي لجنة؟,4
بحسب الفقرة، شنو ما صار للمرأة السويسرية؟,3
أي شركة أنطوها جائزة تايوان للاستدامة ب2007,3
شنو هو Eee PC من ASUS؟,2
منو جان مسؤول عن الوثائق البريدية المفقودة؟,3
بحسب الفقرة، منو اصدر اعتذار بخصوص الوثائق المفقودة؟,4
يمته احتاج ديل بوترو يعالج مشكلة كتفه؟,3
شنو جانت نتيجة كسر التعادل الأول؟,1
حسب ما ذُكر بالفقرة، منو بالتحديد طلع كدام المريض؟,2
بحسب الفقرة، شنو الي ما أكده المحافظ لمواطنين تكساس؟,4
أي واحد من برامج الأخبار الساخرة هاي سووه طلاب سابقين من جامعة ويسكونسن؟,4
