question,gemini_answer
"Menurut petikan, apakah petua yang dianggap tidak tepat untuk memainkan akordion dengan baik?",1
"Semasa memainkan akordion, manakah yang berikut membantu meningkatkan kelantangan?",1
Mengapa imej pada televisyen dipotong bingkainya?,2
"Menurut petikan, yang manakah antara masalah berikut mungkin dihadapi semasa menukar filem kepada format DVD?",2
Di manakah terletaknya garison British?,3
Tandatangan siapakah yang kelihatan pada draf tulisan tangan?,4
"Antara pilihan berikut, yang manakah lokasi terakhir Dunlap broadside?",1
Di manakah askar Kolonel Stark ditempatkan?,1
"Menurut petikan, bilakah askar Stark memanjangkan pagar mereka?",3
"Menurut petikan, yang manakah antara berikut merupakan era paling ganas Cina?",4
"Menurut petikan, pernyataan manakah yang benar tentang koloni tentera semut yang memasuki fasa nomad?",2
"Menurut petikan, pernyataan manakah yang betul tentang tabiat bersarang koloni tentera semut semasa fasa nomad?",3
Yang manakah antara berikut akan berterusan walaupun terdapat tanda luaran?,3
Istilah manakah yang menerangkan individu yang memaparkan varians sifat fenotip?,4
Yang manakah istilah yang betul untuk organisma yang terdapat di kawasan tertentu?,2
Manakah yang berikut bukan contoh aktiviti pelancongan berdasarkan alam semula jadi?,3
"Menurut petikan, yang manakah antara berikut merupakan asas sistem pengangkutan?",2
Partikel yang mengorbit nukleus mempunyai caj jenis apa?,3
Nukleus terdiri daripada partikel apa?,1
"Menurut petikan, yang manakah contoh nombor perduaan lima bit?",3
Angka perduaan juga dipanggil apa?,1
Yang manakah antara berikut tidak disebut dalam petikan sebagai manfaat utama menulis blog pelajar?,2
Yang manakah antara aspek menulis blog berikut disebut sebagai motivasi untuk pelajar meningkatkan kebolehan menulis mereka?,2
Yang manakah antara berikut bukan manfaat komunikasi tak segerak untuk pelajar? ,2
"Menurut petikan, yang manakah antara aspek komunikasi tak segerak berikut tidak fleksibel untuk pelajar?",2
Apakah yang tidak disebut dalam petikan sebagai perkara yang berkaitan dengan kastil zaman pertengahan?,4
Yang manakah antara berikut tidak disebut dalam petikan sebagai bau atau bunyi yang boleh diimbau di runtuhan istana?,3
Yang manakah antara berikut gambaran yang tepat tentang Istana Kirby Muxloe?,2
Yang manakah antara ciri pembinaan berikut dianggap luar biasa untuk Istana Muxloe Castle pada zaman yang diterangkan dalam petikan?,3
"Menurut petikan, yang manakah paling bermanfaat untuk pelari yang bersiap sedia untuk musim seterusnya?",4
"Menurut petikan, yang manakah antara berikut paling penting untuk pelari setengah batu kelas pertama?",2
"Untuk atlet, yang manakah antara berikut tidak boleh dicapai hanya dengan pengambilan nutrisi?",3
"Berdasarkan petikan, yang manakah antara berikut bukan cara yang dicadangkan untuk atlet muda menikmati keseronokan dalam sukan mereka?",2
"Menurut petikan, mengapakah pelari jarak sederhana membeli kelengkapan yang lebih mahal?",1
"Menurut petikan, apakah yang diperlukan oleh pelari jarak sederhana?",3
Siapakah yang menemui resonans magnetik? ,3
Pada tahun bilakah paten diberikan untuk resonans pengimejan perubatan? ,2
"Menurut petikan, apakah yang perlu difahami manusia untuk menafsir tindakan fizikal orang lain?",2
"Menurut petikan, memahami hasrat membantu manusia melakukan apa?",1
"Menurut petikan, yang manakah antara berikut ialah ringkasan yang betul tentang tujuan utama AI?",4
"Menurut petikan, yang manakah paling kerap dikaitkan dengan AI?",3
"Menurut petikan, yang manakah antara berikut ialah kekuatan seseorang dengan corak pemikiran tertumpu?",4
"Menurut petikan, yang manakah antara berikut bukan dianggap fokus pola pemikiran tertumpu?",2
"Menurut petikan, yang manakah antara berikut tidak dianggap ekspresi mikro?",1
Yang manakah antara pernyataan tentang penafsiran ekspresi mikro berikut tidak benar?,3
Yang manakah antara berikut menjadi lebih penting akibat Renaissance? ,4
"Hasil daripada Renaissance, yang manakah antara berikut kurang ditekankan?",1
Yang manakah antara berikut tidak menunjukkan motivasi untuk menggunakan internet bagi meneruskan hubungan?,3
Yang manakah antara berikut tidak menunjukkan motivasi untuk menggunakan internet bagi penglibatan peribadi?,1
Bilakah Eropah barat berhenti bergantung pada pengaruh dan mula membangunkan gaya sendiri?,1
Apakah yang menyebabkan orang ramai menggunakan butang untuk mengikat pakaian? ,3
"Menurut petikan, yang manakah antara berikut ialah penyelesaian jangka panjang yang baik untuk isu alam sekitar?",3
"Menurut petikan, yang manakah antara penyelesaian berikut bukan rawatan simptomatik untuk isu alam sekitar?",2
Negara manakah yang perang pertamanya di Eropah berpunca daripada isu utama berkaitan keseimbangan kuasa dan bukannya agama?,4
Perang apakah yang kadang kala digelar sebagai 'perang agama’ yang terakhir?,1
Yang manakah antara aspek Gereja Katolik berikut tidak dipersoalkan?,2
"Menurut petikan, siapakah yang dibunuh di Versailles?",4
Yang manakah antara berikut tidak diancam oleh perusuh terhadap Raja dan Permaisuri?,1
Yang manakah antara berikut bukan akibat taktik perang tentera laut British yang tidak mengikut kelaziman?,3
Pernyataan manakah yang tidak menggambarkan dengan tepat tentang sekatan tentera laut British terhadap Jerman?,4
"Berdasarkan petikan, untuk siapakah yang berkemungkinan didiagnosis dengan Sklerosis Berbilang?",1
"Menurut petikan, peserta aktiviti biasa memerlukan lebih sokongan untuk apa?",1
"Menurut petikan, bagaimanakah lawan pedang biasanya dilakukan?",4
"Menurut petikan, yang manakah ialah petunjuk terbaik keracunan dalaman?",4
"Menurut petikan, apakah langkah pertama yang sesuai semasa menilai mangsa?",1
Pernyataan manakah antara berikut yang tidak menggambarkan proses memeriksa mangsa yang tepat?,1
Perubahan manakah yang diakibatkan oleh Revolusi Perancis membawa impak yang signifikan kepada orang kelas pekerja?,2
"Berikutan Revolusi Perancis, faktor apakah yang kurang mempengaruhi kejayaan dalam ketenteraan dan pekerjaan lain?",2
Perkhidmatan awam manakah yang menyebabkan paling banyak rasa tidak puas hati di negara maju?,3
"Menurut petikan, apakah yang boleh dikatakan tentang sistem pengangkutan awam?",3
"Menurut petikan, yang manakah antara berikut sukar diukur kerana kelakuan pemandu tidak dapat diramalkan?",4
Yang manakah antara berikut digunakan untuk mewakili aliran lalu lintas secara matematik?,4
Apakah yang Hershey dan Chase gunakan untuk mengimplan DNA mereka? ,4
Kebolehan mutasi untuk diwarisi oleh kanak-kanak bergantung pada apa?,1
"Berdasarkan maklumat yang diberikan dalam petikan, apakah bukan faktor timbul pelbagai kesan mutasi?",1
Yang manakah antara berikut bukan sebab budaya kuno memelihara kambing?,1
Matlamat golf ialah menggunakan paling kurang apa?,2
"Di lapangan golf, tempat manakah rumput dipotong lebih pendek?",2
Apakah tujuan biasa eksperimen?,1
"Menurut petikan, apakah yang tidak membantu membimbing penyelidikan saintifik?",1
"Menurut petikan, pernyataan manakah tentang puting beliung yang tidak tepat?",3
"Berdasarkan petikan, pernyataan manakah yang berikut menerangkan kebanyakan puting beliung dengan tepat?",4
Manakah yang berikut mula dilakukan manusia pada abad ke-16?,4
Berapa lama manusia telah membesarkan objek menggunakan lensa?,3
"Berdasarkan petikan tentang gua Muhammad SAW, apakah yang boleh dikatakan tentang amalan atau nilai kerohanian baginda?",1
"Menurut petikan, apakah kegunaan pertama besi?",4
"Menurut petikan, mengapakah roda kayu digantikan oleh roda besi?",4
"Menurut petikan, apakah yang membentuk individu pada zaman Romantisme?",2
Pernyataan manakah antara berikut tidak menggambarkan idea umum tentang determinisme teknologi? ,1
"Menurut petikan, yang manakah antara berikut tidak berkait dengan menarik busur?",1
"Menurut petikan, yang manakah antara berikut dikaitkan dengan bunyi yang lebih lembut?",3
Fosil menunjukkan tangan beradaptasi untuk digunakan terutamanya bagi tujuan apa?,1
Manakah yang berikut menggambarkan falanks cimpanzi dengan tepat? ,3
Pemilihan mengeluarkan variasi genetik baharu daripada himpunan apa?,4
Proses apakah yang menambah variasi genetik?,3
"Berdasarkan maklumat dalam petikan, yang manakah antara berikut patut dimakan oleh primat untuk menyelesaikan “masalah protein”?",3
"Menurut petikan, yang manakah antara masalah berikut bukan disebabkan oleh kekurangan keperluan asid amino?",1
Bagaimanakah ahli subkebudayaan menunjukkan keanggotaan mereka dengan kumpulan?,4
"Mengikut teori yang ditunjukkan dalam petikan, apakah yang mungkin berlaku sekiranya kanak-kanak yang mengenali diri mereka sebagai dari satu kaum minoriti distereotaip sebagai melakukan tingkah laku berbahaya?",2
"Menurut petikan, pengetahuan kanak-kanak tentang stereotaip kaum boleh menjejaskan apa?",2
"Menurut petikan, yang manakah antara berikut tidak konsisten dengan asuhan kanak-kanak feral?",2
"Menurut petikan, yang manakah antara berikut menggambarkan tingkah laku feral dalam kanak-kanak?",2
"Menurut petikan, yang manakah antara amalan berikut tidak sepadan dengan pertanian sara diri?",2
Manakah yang berikut menerangkan amalan pertanian sara diri dengan tepat?,4
Melawat muzium tergolong dalam kategori pelancongan apa?,3
"Menurut petikan, yang manakah keutamaan untuk pelancong rekreasi?",2
Apakah yang disebut dalam petikan sebagai membantu mengurangkan rasa takut terhadap perubahan dalam gereja tempatan?,1
"Menurut petikan, apakah kelebihan memahami sejarah seseorang?",3
Pernyataan yang manakah menggambarkan dengan tepat pendekatan pascamoden terhadap pembelajaran?,4
"Antara pernyataan berikut, yang manakah tidak menggambarkan dengan tepat tentang pendekatan pascamoden terhadap pembelajaran?",2
"Selepas bangun secara sengaja selama tempoh tidur normal, yang manakah antara berikut akan mengganggu proses gangguan tidur?",3
Yang manakah bukan gambaran yang tepat tentang gangguan tidur?,4
"Apabila otak cuba bermimpi jelas lebih kerap, apakah yang bertambah?",4
Apakah kesan negatif yang akan timbul pada badan jika kerap bermimpi jelas?,2
"Menurut petikan, apakah persamaan pasukan konvensional dan pasukan maya?",1
"Berdasarkan petikan, pernyataan manakah tentang pasukan fizikal dan maya tidak benar?",1
Yang manakah antara berikut bukan tumpuan teori kandungan?,1
Yang manakah antara berikut bukan tujuan peraturan sepertiga?,1
Yang manakah antara berikut tidak menggambarkan format fotografi 35mm?,3
"Menurut petikan, setelah pengilang meningkatkan kualiti penghasilan kanta, bagaimanakah kualiti kanta zum meningkat?",3
"Berdasarkan maklumat dalam petikan, bilakah lensa zum lebih sesuai digunakan berbanding lensa perdana?",3
Yang manakah antara berikut bukan gambaran yang tepat tentang Mistisisme?,4
"Menurut petikan, yang manakah antara berikut bukan fokus Mistisisme?",2
"Menurut petikan, siapakah yang mungkin telah memulakan masyarakat agrikultur?",4
"Menurut petikan, kumpulan yang memburu moa ialah penduduk pertama bagi kawasan apa?",2
Dalam situasi apakah penggunaan kaedah Pureland berguna kepada pelipat?,4
Yang manakah tidak menggambarkan origami Pureland dengan tepat?,1
"Menurut petikan, lokasi manakah yang tidak dikaitkan dengan Tamadun Lembah Indus?",3
Yang manakh antara berikut tidak disebut sebagai nama yang mungkin untuk Tamadun Zaman Gangsa yang dibincangkan dalam petikan?,3
"Menurut petikan, yang manakah memberikan manfaat jangka panjang?",1
"Menurut petikan, yang manakah antara berikut mungkin diutamakan seseorang jika fokusnya ialah manfaat serta-merta?",4
"Menurut petikan, siapa yang menanggung sebahagian besar perbelanjaan perang?",4
Zaman apakah yang datang sebelum zaman Templars?,3
Zaman apakah yang datang selepas zaman Templars?,1
Rawatan atau prosedur perubatan manakah yang tidak digunakan oleh doktor dan pakar bedah semasa Empayar Rom?,1
"Menurut petikan, yang manakah antara berikut bukan hasil kemajuan dalam bidang perubatan semasa Empayar Rom?",3
Kebolehan melihat bergantung pada apa?,1
Kepelbagaian sktruktur mata antara organisma bergantung pada apa?,2
"Menurut petikan, pernyataan manakah tentang Sikhisme tidak menggambarkan agama tersebut dengan tepat?",2
"Menurut petikan, yang manakah antara berikut ialah aspek asas sistem kepercayaan Sikh?",1
"Menurut petikan, kanak-kanak dengan Gangguan Defisit Perhatian sukar untuk memberi tumpuan kepada apa?",1
"Menurut petikan, mengapakah kanak-kanak dengan Gangguan Defisit Perhatian cenderung terlibat dalam tingkah laku yang berisiko?",4
"Berdasarkan maklumat dalam petikan, yang manakah bukan contoh perancah?",1
Yang manakah tidak menggambarkan konsep perancah dengan tepat?,3
"Menurut petikan, ciri MySpace manakah yang boleh memberi manfaat kepada pelajar yang sukar membaca?",1
"Menurut petikan, yang manakah antara berikut bukan sebahagian daripada tindak balas Krushchev terhadap rusuhan buruh?",3
Yang manakah antara berikut bukan punca rusuhan di Poland?,4
"Menurut petikan, yang manakah tidak menjejaskan hubungan antara USSR dan USA?",2
Yang manakah antara berikut tidak menggambarkan dengan tepat tentang tujuan menghantar impuls saraf ke seluruh badan?,1
Apakah yang terdapat di Dataran Tinggi Giza?,4
Apakah tujuan Piramid Besar?,2
Siapakah yang mendedahkan maklumat tentang orang yang membakar kuil?,3
Apakah pernyataan yang tepat tentang pembinaan semula kuil Artemis?,2
"Menurut petikan, bilakah masa paling awal spesies telah berjalan dengan dua kaki?",1
Spesies apakah yang kerap berjalan dengan dua kaki?,2
Apakah yang tentera laut Jerman cuba lakukan semasa WWII?,2
"Berdasarkan maklumat yang diberikan dalam petikan, siapa yang paling berjaya dalam perang tentera laut semasa kempen Atlantik Utara?",1
Apakah yang belum wujud semasa Assyria memperkenalkan tentera berkuda?,1
Bagaimanakah cara pasukan berkuda bertempur?,3
"Menurut petikan, perkara apakah yang tidak dilakukan oleh orang Babylon biasa?",4
Yang manakah tempat khusus untuk paderi sahaja?,2
Bilakah Raja Tutankhamun menjadi terkenal?,3
Apakah yang membuatkan Raja Tutankhamun menjadi raja Mesir yang terkenal?,1
"Apakah yang tidak boleh dilakukan oleh penyair Yunani, Homer?",2
